id,name,details,gender,category
Men:ACCESSORIES:0,PACK OF 2 STRIPED POPLIN BOXERS,Pack of 2 pairs of boxers made of poplin fabric. Elastic waistband.,Men,ACCESSORIES
Men:ACCESSORIES:3,PACK OF 2 STRIPED POPLIN BOXERS,Pack of 2 pairs of boxers made of cotton poplin fabric. Elasticated waistband.,Men,ACCESSORIES
Men:ACCESSORIES:5,2-PACK OF SHORT POPLIN BOXERS,Pack of 2 pairs of short boxers made of cotton poplin fabric. Elasticated waistband.,Men,ACCESSORIES
Men:ACCESSORIES:7,2-PACK OF BOXERS WITH CUTWORK EMBROIDERY,Pack of 2 pairs of boxers made of poplin. Elasticated waistband. Cutwork embroidery all over the garment.,Men,ACCESSORIES
Men:ACCESSORIES:8,3-PACK OF BASIC BOXERS,Pack of 3 pairs of boxers with an elastic waistband.,Men,ACCESSORIES
Men:ACCESSORIES:10,3-PACK OF BASIC BOXERS,Pack of 3 pairs of boxers with an elasticated waistband.,Men,ACCESSORIES
Men:ACCESSORIES:16,PACK OF 3 SOFT BOXERS,Pack of three boxers with an elastic waistband. Fabric with a velvety finish.,Men,ACCESSORIES
Men:ACCESSORIES:17,PACK OF 3 SOFT BOXERS,Pack of three boxers made of a velvety-finish fabric. Elastic waistband.,Men,ACCESSORIES
Men:ACCESSORIES:18,3-PACK OF ASSORTED BOXERS,Pack of three boxers with an elastic waistband. Fabric with a faded finish.,Men,ACCESSORIES
Men:ACCESSORIES:21,3-PACK OF ASSORTED BRIEFS,Pack of 3 pairs of briefs with an elasticated waistband.,Men,ACCESSORIES
Men:ACCESSORIES:25,SMART LEATHER BELT,Leather belt. Fastening with metal buckle and belt loop.,Men,ACCESSORIES
Men:ACCESSORIES:33,LEATHER BELT,Leather belt with a nubuck finish. Fastening with metal buckle and loop.,Men,ACCESSORIES
Men:ACCESSORIES:34,FADED LEATHER BELT,Faded leather belt with metal buckle fastening.,Men,ACCESSORIES
Men:ACCESSORIES:35,THIN LEATHER BELT,Thin leather belt. Fastens with metal buckle and loop.,Men,ACCESSORIES
Men:ACCESSORIES:36,SPLIT SUEDE BELT,Leather belt with a split suede finish. Topstitching detail. Fastening with a metal buckle and belt loop.,Men,ACCESSORIES
Men:ACCESSORIES:37,CONTRAST LEATHER BELT,Leather belt. Contrast topstitching detail. Fastens with a metal buckle and loop.,Men,ACCESSORIES
Men:ACCESSORIES:38,LEATHER BELT,Leather belt. Metallic eyelets. Fastening with metallic buckle and belt loop.,Men,ACCESSORIES
Men:ACCESSORIES:40,LEATHER BELT,Leather belt. Metal loop and buckle fastening with embossed details.,Men,ACCESSORIES
Men:ACCESSORIES:41,LEATHER BELT,Thin leather belt with metal buckle fastening.,Men,ACCESSORIES
Men:ACCESSORIES:42,SPLIT SUEDE BELT,Narrow leather belt with a split suede finish. Fastening with metal buckle and loop.,Men,ACCESSORIES
Men:ACCESSORIES:43,THIN LEATHER BELT,Leather belt. Metal loop and buckle fastening.,Men,ACCESSORIES
Men:ACCESSORIES:46,BRAIDED STRETCH BELT,Elastic belt. Leather trims. Fastens with metal buckle and loop.,Men,ACCESSORIES
Men:ACCESSORIES:47,EMBOSSED LEATHER BELT,Leather belt. Embossed geometric detail. Fastening with metallic buckle and belt loop.,Men,ACCESSORIES
Men:ACCESSORIES:48,BRAIDED BELT,Plaited cotton belt. Fastening with metallic buckle and belt loop.,Men,ACCESSORIES
Men:ACCESSORIES:49,STRETCH REVERSIBLE BELT,Reversible stretch belt. Leather trims. Buckle and loop fastening.,Men,ACCESSORIES
Men:ACCESSORIES:50,REVERSIBLE LEATHER BELT,Reversible leather belt. Buckle and loop fastening.,Men,ACCESSORIES
Men:ACCESSORIES:52,REVERSIBLE LEATHER BELT,Reversible leather belt. Metal loop and buckle fastening.,Men,ACCESSORIES
Men:ACCESSORIES:54,REVERSIBLE LEATHER BELT,Reversible leather belt. Metallic buckle and loop fastening.,Men,ACCESSORIES
Men:ACCESSORIES:55,PACK OF 3 RIBBED SOCKS,Pack of three pairs of ribbed knit socks with ribbed elasticated trims.,Men,ACCESSORIES
Men:ACCESSORIES:59,3-PACK OF MERCERISED COTTON SOCKS,Pack of 3 pairs of ribbed knit socks with a mercerised cotton finish and ribbed elastic trims.,Men,ACCESSORIES
Men:ACCESSORIES:61,3-PACK OF COMBINED SOCKS,Pack of 3 pairs of lightweight socks made of a spun cotton blend fabric. Ribbed trims.,Men,ACCESSORIES
Men:ACCESSORIES:62,3-PACK OF MATCHING SOCKS,Pack of 3 pairs of socks made of a spun cotton blend fabric. Ribbed trims.,Men,ACCESSORIES
Men:ACCESSORIES:64,PACK OF 3 RIBBED SOCKS,Pack of three pairs of knit socks with ribbed trims.,Men,ACCESSORIES
Men:ACCESSORIES:65,SOCKS WITH STRIPE AND EMBROIDERY,Socks made of a spun cotton blend. Matching embroidery detail. Ribbed trims.,Men,ACCESSORIES
Men:ACCESSORIES:69,PACK OF 4 ANKLE SOCKS,Pack of four pairs of ankle socks made of a spun cotton blend fabric. Ribbed trims.,Men,ACCESSORIES
