id,name,details,gender,category
Men:BLAZERS:0,BASIC BLAZER,Straight-fit blazer with a notched lapel collar and long sleeves with buttoned cuffs. Patch pockets at the hip and an inside pocket detail. Back vents at the hem. Buttoned front.,Men,BLAZERS
Men:BLAZERS:4,100% WOOL SUIT BLAZER - LIMITED EDITION,Blazer made of wool. Peak lapel collar and long sleeves with buttoned cuffs. Open chest pocket and flap pockets on the hip. Inner pocket detail. Back vent at the centre of the hem and a button-up front.,Men,BLAZERS
Men:BLAZERS:5,100% WOOL SUIT BLAZER,Blazer made of Italian wool fabric. Notch lapel collar and long sleeves with buttoned cuffs. Chest welt pocket and hip flap pockets. Interior pocket detail. Back vents at the hem. Button-up front.,Men,BLAZERS
Men:BLAZERS:9,100% WOOL PINSTRIPE SUIT BLAZER,Straight fit blazer made of Italian wool fabric. Notched lapel collar and long sleeves with buttoned cuffs. Chest welt pocket and flap pockets on the hip. Inner pocket detail. Back vents at the hem and a button-up front.,Men,BLAZERS
Men:BLAZERS:11,100% WOOL OVERSIZE BLAZER,Oversize blazer made of wool. Notched lapel collar and long sleeves with buttoned cuffs. Hip flap pockets and inside pocket detail. Central back vent at the hem. Buttoned front.,Men,BLAZERS
Men:BLAZERS:13,SLIM FIT SUIT BLAZER,Blazer with a notched lapel collar. Long sleeves with button details on the cuffs. Chest welt pocket and hip flap pockets. Inside pocket detail. Front button fastening.,Men,BLAZERS
Men:BLAZERS:23,CHECKED SUIT BLAZER,Straight fit blazer with a notched lapel collar. Long sleeves with buttoned cuffs. Chest welt pocket and flap hip pockets. Inside pocket detail. Back vents at the hem. Front button fastening.,Men,BLAZERS
Men:BLAZERS:24,CHECKED SUIT BLAZER,Regular-fit blazer with a notched lapel collar. Long sleeves with buttoned cuffs. Chest welt pocket and hip flap pocket. Inside pocket detail. Back vents at the hem. Buttoned front.,Men,BLAZERS
Men:BLAZERS:39,SUIT BLAZER,"Straight fit blazer with a notched lapel collar, long sleeves with buttoned cuffs, flap pockets at the hip and an inside pocket. Central back vent at the hem and front button fastening.",Men,BLAZERS
Men:BLAZERS:41,BLAZER WITH POCKETS,"Relaxed fit blazer with a pointed lapel collar, long sleeves with buttoned cuffs, a patch pocket on the chest and patch pockets with flaps at the hip. Central back vent at the hem and front button fastening.",Men,BLAZERS
Men:BLAZERS:42,STRAIGHT-FIT SUIT BLAZER,Straight-fit blazer. Notched lapel collar and long sleeves with buttoned cuffs. Flap pockets at the hip. Interior pocket detail. Hem with back vents. Front button fastening.,Men,BLAZERS
Men:BLAZERS:43,SUIT BLAZER WITH IRREGULAR TRIMS,Relaxed fit blazer. Notched lapel collar. Long sleeves with buttoned cuffs. Hip flap pockets. Inner pocket detail. Back vents at the hem. Irregular trims. Front button fastening.,Men,BLAZERS
Men:BLAZERS:44,RELAXED-FIT SUIT,"Relaxed fit blazer with a notched lapel collar, long sleeves with buttoned cuffs, flap pockets at the hip and an inside pocket. Central back vent at the hem and front button fastening.",Men,BLAZERS
Men:BLAZERS:46,SLIM-FIT SUIT WAISTCOAT,Slim-fit waistcoat with a V-neckline. Jetted pockets at the hip. Adjustable tabs at the back. Button-up front.,Men,BLAZERS
Men:BLAZERS:49,BUTTONED WAISTCOAT,Waistcoat with a V-neckline. Featuring welt pockets at the waist and a button-up front.,Men,BLAZERS
Men:BLAZERS:50,TEXTURED SUIT BLAZER,Slim-fit blazer with a notched lapel collar and long sleeves with buttoned cuffs. Welt pockets on the chest and at the hip. Inside pocket detail. Central back vent at the hem. Front button fastening.,Men,BLAZERS
Men:BLAZERS:55,COMFORT BLAZER,Straight fit blazer made of highly stretchy fabric. Notched lapel collar and long sleeves. Hip welt pockets and inside pocket detail. Back vent at the hem. Front button fastening.,Men,BLAZERS
Men:BLAZERS:59,100% LINEN SUIT BLAZER,Regular-fit blazer made of linen. Notched lapel collar and long sleeves with buttoned cuffs. Chest welt pocket and flap pockets on the hip. Inside pocket. Central back vent at the hem and a button-up front.Origins special collection.,Men,BLAZERS
Men:BLAZERS:60,100% LINEN SUIT BLAZER,Straight fit blazer made of linen. Notched lapel collar. Long sleeves with buttoned cuffs. Chest welt pocket and hip flap pocket detail. Inner pocket detail. Back vents at the hem and a button-up front.,Men,BLAZERS
Men:BLAZERS:64,100% LINEN DOUBLE-BREASTED BLAZER,Straight fit blazer made of linen. Lapel collar and long sleeves with buttoned cuffs. Chest welt pocket and patch pockets on the hip. Inner pocket detail. Back vents at the hem and a double-breasted button-up front.,Men,BLAZERS
Men:BLAZERS:66,100% LINEN WAISTCOAT,Linen waistcoat. V-neckline and no sleeves. Welt pockets at the waist. Button-up front.,Men,BLAZERS
Men:BLAZERS:68,SEERSUCKER BLAZER,Regular-fit blazer. Notched lapel collar and long sleeves. Hip flap pockets. Front button fastening.,Men,BLAZERS
