id,name,details,gender,category
Men:HOODIES_SWEATSHIRTS:0,SWEATSHIRT WITH ZIP COLLAR,"Sweatshirt featuring a high neck with front zip fastening, long sleeves and ribbed trims.",Men,HOODIES_SWEATSHIRTS
Men:HOODIES_SWEATSHIRTS:7,REFLECTIVE EFFECT JACKET,Jacket made of a very lightweight and reflective technical fabric.- High neck with stow-away hood on the inside.- Long sleeves with elastic cuffs.- Thermo-sealed inner seams.- Pocket with autolock zip fastening on the chest and hip pockets.- Adjustable hem with elastic at the sides.- Logo print on the front.Zara Athleticz.,Men,HOODIES_SWEATSHIRTS
Men:HOODIES_SWEATSHIRTS:8,COTTON HOODIE,Hoodie made of compact cotton fabric. Adjustable hood and long sleeves. Front pouch pocket. Ribbed trims.Zara Athleticz.,Men,HOODIES_SWEATSHIRTS
Men:HOODIES_SWEATSHIRTS:12,PREMIUM SWEATSHIRT,Loose-fitting sweatshirt with a wide ribbed neck and short sleeves.,Men,HOODIES_SWEATSHIRTS
Men:HOODIES_SWEATSHIRTS:20,SWEATSHIRT WITH CONTRAST TRIMS,Loose-fitting sweatshirt with a round neck and short sleeves. Contrast piping details on the front and back. Ribbed trims.,Men,HOODIES_SWEATSHIRTS
Men:HOODIES_SWEATSHIRTS:21,RIBBED SWEATSHIRT,Short sleeve sweatshirt with a round neck.,Men,HOODIES_SWEATSHIRTS
Men:HOODIES_SWEATSHIRTS:24,POLO SWEATSHIRT,Collared polo shirt with a buttoned front hidden by a placket. Long sleeves. Ribbed trims.,Men,HOODIES_SWEATSHIRTS
Men:HOODIES_SWEATSHIRTS:29,POLO SWEATSHIRT,"Collared polo made of compact cotton fabric. Front button fastening, long sleeves and ribbed trims.",Men,HOODIES_SWEATSHIRTS
Men:HOODIES_SWEATSHIRTS:30,CONTRAST PRINT SWEATSHIRT,Sweatshirt with a round neck and long sleeves. Contrast prints on the front and back. Ribbed trims.,Men,HOODIES_SWEATSHIRTS
Men:HOODIES_SWEATSHIRTS:31,PRINTED SWEATSHIRT WITH SLOGAN,Oversize sweatshirt with a round neck and long sleeves. Contrast slogan print on the front and back. Ribbed trims.,Men,HOODIES_SWEATSHIRTS
Men:HOODIES_SWEATSHIRTS:33,THE NOTORIOUS B.I.G. © BROOKLYN MINT SWEATSHIRT,"Long sleeve sweatshirt with a round neckline. Notorious B.I.G. © Brooklyn Mint, LLC contrast slogan print on the front. Faded effect. Ribbed trims.",Men,HOODIES_SWEATSHIRTS
Men:HOODIES_SWEATSHIRTS:35,CONTRAST PRINTED SWEATSHIRT,Sweatshirt with a round neckline and long sleeves. Contrast print and embroidery on the front and back. Ribbed trims.,Men,HOODIES_SWEATSHIRTS
Men:HOODIES_SWEATSHIRTS:36,CONTRAST PRINT SWEATSHIRT,Sweatshirt with a round neckline and long sleeves. Contrast prints on the front and back. Ribbed trims.,Men,HOODIES_SWEATSHIRTS
Men:HOODIES_SWEATSHIRTS:38,CONTRAST PRINT SWEATSHIRT,Boxy fit sweatshirt with a round neck and short sleeves. Contrast prints on the front.,Men,HOODIES_SWEATSHIRTS
Men:HOODIES_SWEATSHIRTS:39,PAPER PATCH SWEATSHIRT,Loose-fitting sweatshirt with a round neck and short sleeves. Patch on the front made of kraft paper with a printed slogan. Irregular finish with contrast topstitching detail.,Men,HOODIES_SWEATSHIRTS
Men:HOODIES_SWEATSHIRTS:40,SWEATSHIRT WITH PRINTED SLOGANS,Loose-fitting sweatshirt with a round neck and short sleeves. Featuring a contrast slogan print all over the garment.,Men,HOODIES_SWEATSHIRTS
Men:HOODIES_SWEATSHIRTS:41,SWEATSHIRT WITH EMBROIDERY AND SLOGANS,Round neck sweatshirt with short sleeves. Contrast embroidery and prints on the front and back. Ribbed trims.,Men,HOODIES_SWEATSHIRTS
Men:HOODIES_SWEATSHIRTS:43,PRINTED SWEATSHIRT WITH SLOGAN,Sweatshirt with a round neck and short sleeves. Featuring a contrast print on the front.,Men,HOODIES_SWEATSHIRTS
Men:HOODIES_SWEATSHIRTS:44,SWEATSHIRT WITH PRINTED SLOGANS,Sweatshirt with a round neck and short sleeves. Contrast prints on the front and back.,Men,HOODIES_SWEATSHIRTS
Men:HOODIES_SWEATSHIRTS:45,MICKEY MOUSE © DISNEY SWEATSHIRT,Loose-fitting short sleeve sweatshirt with a round neck. Mickey Mouse © Disney prints on the front and back.,Men,HOODIES_SWEATSHIRTS
Men:HOODIES_SWEATSHIRTS:46,SWEATSHIRT WITH CROCHET POCKET,Loose-fitting sweatshirt with a round neck and short sleeves. Front patch pocket in matching crochet.,Men,HOODIES_SWEATSHIRTS
Men:HOODIES_SWEATSHIRTS:47,HATTHANAN™ PRINT HOODIE,Adjustable hoodie with long sleeves. Contrast Hatthanan™ graphic print on the back. Ribbed trims.Zara Athleticz.,Men,HOODIES_SWEATSHIRTS
Men:HOODIES_SWEATSHIRTS:48,TECHNICAL TRAINING SWEATSHIRT,Sweatshirt made of an elastic and lightweight technical fabric.- Round neck and long sleeves with ribbed cuffs. - Adjustable hem with elastic side gores. - Printed front logo detail.Zara Athleticz.,Men,HOODIES_SWEATSHIRTS
Men:HOODIES_SWEATSHIRTS:55,OVERSIZE HOODIE,Oversize adjustable hoodie. Short sleeves. Front pouch pocket.,Men,HOODIES_SWEATSHIRTS
Men:HOODIES_SWEATSHIRTS:56,SWEATSHIRT WITH CONTRAST TOPSTITCHING,Loose-fitting sweatshirt with a round neck and short sleeves. Featuring contrast topstitching all over the garment.,Men,HOODIES_SWEATSHIRTS
Men:HOODIES_SWEATSHIRTS:58,WASHED EFFECT HOODIE,Cropped hoodie with long sleeves and ribbed cuffs. Faded with an irregular hem.,Men,HOODIES_SWEATSHIRTS
Men:HOODIES_SWEATSHIRTS:59,HOODIE,Hoodie made of cotton with a napped interior. Adjustable hood and long sleeves. Front pouch pocket and ribbed trims.,Men,HOODIES_SWEATSHIRTS
Men:HOODIES_SWEATSHIRTS:67,CROPPED DENIM SWEATSHIRT,"Oversize fit cropped faded sweatshirt featuring a round neck, short sleeves and irregular trims.",Men,HOODIES_SWEATSHIRTS
Men:HOODIES_SWEATSHIRTS:68,DENIM T-SHIRT WITH ABSTRACT PRINT,Lightweight denim T-shirt with a round neckline and short sleeves.,Men,HOODIES_SWEATSHIRTS
