id,name,details,gender,category
Men:JEANS:0,STRAIGHT FIT JEANS,Straight-leg jeans with a five-pocket design. Faded with ripped details and a stain print on the legs. Front zip fly and top button fastening.,Men,JEANS
Men:JEANS:1,GEOMETRIC JACQUARD JEANS,Straight fit jeans. Five pockets. Faded effect. Front zip fly and button fastening.,Men,JEANS
Men:JEANS:2,STRAIGHT FIT RIPPED JEANS,Straight fit jeans. Five pockets. Faded with rips on the legs. Front zip fly and button fastening.,Men,JEANS
Men:JEANS:3,CROPPED SLIM JEANS,Cropped slim fit jeans. Five-pocket design. Faded and ripped detail on the legs. Zip fly and top button fastening.,Men,JEANS
Men:JEANS:4,RELAXED-FIT RIPPED JEANS,Relaxed-fit jeans with a five-pocket design. Faded and ripped effect on the legs. Irregular double-effect hems. Front button fly fastening.,Men,JEANS
Men:JEANS:5,SLIM FIT JEANS,Slim fit jeans. Five pockets. Faded effect. Front zip fly and button fastening.,Men,JEANS
Men:JEANS:6,RELAXED FIT PLEATED JEANS,Relaxed fit jeans. Waist with front pleats. Front pockets and rear patch pockets. Faded effect. Front zip fly and button fastening.,Men,JEANS
Men:JEANS:10,CROPPED SLIM JEANS,Cropped slim fit jeans with a five-pocket design. Faded effect. Zip fly and button fastening.,Men,JEANS
Men:JEANS:12,TAPERED FIT JEANS,Tapered fit jeans. Five pockets. Faded effect. Cropped length. Front zip fly and button fastening.,Men,JEANS
Men:JEANS:13,METALLIC-EFFECT JEANS,Straight fit jeans made of faded denim with an irregular metallic finish. Five pockets. Front zip fly and top button fastening.,Men,JEANS
Men:JEANS:14,WIDE FIT JEANS,Faded wide fit jeans. Five pockets. Front zip fly and button fastening.,Men,JEANS
Men:JEANS:15,STRAIGHT FIT SPRAY JEANS,Straight-fit jeans with a five-pocket design. Faded effect with trims in a contrast colour. Front zip fly and top button fastening.,Men,JEANS
Men:JEANS:16,WIDE FIT CARGO JEANS,Wide fit jeans. Five pockets. Patch pockets with flaps on the legs. Adjustable strap in the same fabric on the leg. Faded effect. Irregular hems. Front zip and button fastening.,Men,JEANS
Men:JEANS:17,DETACHABLE CARGO JEANS,Loose fit jeans. Adjustable waistband with side tabs. Multifunctional strap details on the front and back. Five pockets. Patch pockets with flaps on the legs. Detachable legs with invisible zip. Faded effect. Adjustable hems with zip. Front zip and button fastening.,Men,JEANS
Men:JEANS:18,RELAXED FIT JEANS,Relaxed fit jeans. Five pockets. Zipped pockets on the legs. Faded effect. Front zip fly and button fastening.,Men,JEANS
