id,name,details,gender,category
Men:PERFUMES:0,LONDON EDT 100ML / 3.38 oz,"ZARA LONDON SAVILE ROW MAYFAIR EAU DE TOILETTE 100ML / 3.38 oz (3.38 FL.OZ). Woody floral eau de toilette. The scent reveals notes of mint, sandalwood and iris. It´s a masculine, intense and long-lasting fragrance.",Men,PERFUMES
Men:PERFUMES:1,SEOUL 100ML,"ZARA SEOUL 532-8 SINSA DONG GANGNAM-GU EDT 100ML (3.4 FL. OZ). Aromatic eau de toilette. The scent reveals notes of hazelnut, pepper and amber. It’s a modern, sporty and luminous fragrance.",Men,PERFUMES
Men:PERFUMES:2,LISBOA 100 ML,"ZARA LISBOA COLOMBO AVENIDA DO COLEGIO MILITAR EDT 100 ML (3.4 FL. OZ). Citrus eau de toilette. The scent reveals hints of lemon, musk and green notes. It’s a fresh, comfortable and sporty fragrance.",Men,PERFUMES
Men:PERFUMES:3,SEOUL 100 ML + LISBOA 100 ML,"ZARA SEOUL 532-8 SINSA DONG + LISBOA COLOMBO AVENIDA DO COLEGIO (3.4 FL. OZ). Eau de toilette duo set. The scent reveals hints of hazelnut, pepper and amber (I) + lemon, green notes and musk (II).",Men,PERFUMES
Men:PERFUMES:4,SEOUL + SEOUL SUMMER 100ML / 3.38 oz,"ZARA SEOUL 532-8 SINSA DONG GANGNAM-GU EDT 100ML + ZARA SEOUL 532-8 SINSA DONG GANGNAM-GU SUMMER EDT 100ML 2X (3.38 FL. OZ). Eau de toilette duo set. The fragrance pyramid includes notes of pepper, ylang-ylang and dry amber (I) + apple, orange blossom and amber (II).",Men,PERFUMES
Men:PERFUMES:5,30ML / 1.01 oz SEOUL,"30ML (1.01 FL. OZ). ZARA MAN SEOUL 532-8 SINSA DONG GANGNAM-GU Aromatic eau de toilette. The fragrance pyramid reveals notes of pepper, ylang-ylang and dry amber. It’s a modern, sporty and luminous fragrance.",Men,PERFUMES
Men:PERFUMES:6,SILVER 100ML / 3.38 oz,"ZARA MAN SILVER EDT 100ML (3.38 FL. OZ). Aromatic eau de toilette. The fragrance pyramid reveals notes of lemon, jasmine and patchouli. It’s a fresh, modern and luminous fragrance.",Men,PERFUMES
Men:PERFUMES:7,BLUE SPIRIT 100ML / 3.38 oz,"ZARA MAN BLUE SPIRIT EDT 100ML (3.38 FL. OZ). Aromatic eau de cologne. The fragrance pyramid reveals notes of tangerine, ylang-ylang and amber. It’s a modern, nocturnal and warm fragrance.",Men,PERFUMES
Men:PERFUMES:8,GREEN SAVAGE 100ML / 3.38 oz,"ZARA MAN GREEN SAVAGE EDT 100ML (3,38 FL. OZ).Hesperidic amber eau de toilette. The fragrance pyramid reveals fruity top notes such as bergamot, mandarin and grapefruit, with ginger. Accompanied by notes of lavender, apple, sage and tonka bean. The background reveals incense and amber notes wrapped in cedar wood and musk. It is a fresh, luminous and captivating fragrance.",Men,PERFUMES
Men:PERFUMES:9,UOMO 100ML / 3.38 oz,"ZARA MAN UOMO EDT 100ML (3.38 FL. OZ). Oriental eau de toilette. The fragrance pyramid reveals notes of bergamot, nutmeg and amber. It’s a warm, comfortable and nocturnal fragrance.",Men,PERFUMES
Men:PERFUMES:11,GOLD 100 ML,"ZARA MAN GOLD 100ML (3,38 FL. OZ).Woody eau de toilette. The fragrance pyramid reveals notes of lemon, cinnamon and palo santo. It’s an intense, nocturnal and modern fragrance.",Men,PERFUMES
Men:PERFUMES:12,GREEN SAVAGE + BLUE SPIRIT EDT 100 ML / 3.38 oz,"ZARA MAN GREEN SAVAGE + ZARA MAN BLUE SPIRIT EAU DE TOILETTE 2X100 ML / 3.38 oz (3.38 FL.OZ). GREEN SAVAGE: Ambery hesperidin eau de toilette. The fragrance pyramid reveals fruity top notes such as bergamot, mandarin and grapefruit, with ginger. Accompanied by notes of lavender, apple, sage and tonka bean. The background reveals incense and amber notes wrapped in cedar wood and musk. It is a fresh, luminous and captivating fragrance.BLUE SPIRIT: Aromatic eau de toilette. The fragrance pyramid reveals notes of tangerine, ylang-ylang and amber. It’s a modern, nocturnal and warm fragrance.",Men,PERFUMES
Men:PERFUMES:13,SILVER + BLUE SPIRIT100ML / 3.38 oz,"ZARA MAN SILVER EDT 100ML + ZARA MAN BLUE SPIRIT EDT 100ML (3.38 FL. OZ). Eau de toilette duo set. The fragrance pyramid reveals notes of lemon, jasmine, patchouli (I) + tangerine, ylang-ylang and amber (II).",Men,PERFUMES
