id,name,details,gender,category
Men:POLO SHIRTS:0,VISCOSE BLEND KNIT POLO SHIRT,Collared knit polo shirt made of a spun viscose blend. Button-up front. Short sleeves. Ribbed trims.,Men,POLO SHIRTS
Men:POLO SHIRTS:8,STRIPED KNIT POLO SHIRT,"Knit collared polo shirt made of spun cotton fabric. Front button fastening, long sleeves and ribbed trims.",Men,POLO SHIRTS
Men:POLO SHIRTS:9,CONTRAST KNIT POLO SHIRT,Collared knit polo shirt. Contrast button fastening on the front. Short sleeves. Ribbed trims.,Men,POLO SHIRTS
Men:POLO SHIRTS:13,LYOCELL - COTTON KNIT POLO SHIRT,"Collared knit polo shirt made of spun lyocell, cotton and silk blend fabric. Button-up front. Short sleeves. Ribbed trims.",Men,POLO SHIRTS
Men:POLO SHIRTS:17,KNIT POLO SHIRT WITH ZIP,Knit polo shirt made of spun cotton fabric. Collar with zip fastening. Short sleeves. Ribbed trims.,Men,POLO SHIRTS
Men:POLO SHIRTS:19,KNIT POLO SHIRT WITH ZIP,Knit polo shirt made of spun cotton fabric. Lapel collar with zip on the front. Long sleeves. Ribbed trims.,Men,POLO SHIRTS
Men:POLO SHIRTS:21,POLO SWEATSHIRT,"Collared polo made of compact cotton fabric. Front button fastening, long sleeves and ribbed trims.",Men,POLO SHIRTS
Men:POLO SHIRTS:22,TEXTURED CROCHET KNIT POLO SHIRT,Knit polo shirt with an open texture. Lapel collar with front opening. Short sleeves. Ribbed trims.,Men,POLO SHIRTS
Men:POLO SHIRTS:23,TEXTURED CROCHET KNIT POLO SHIRT,Knit collared polo shirt with an open texture. Front button fastening. Long sleeves. Ribbed trims.,Men,POLO SHIRTS
Men:POLO SHIRTS:24,COLOUR BLOCK KNIT POLO SHIRT WITH PATCHES,Collared knit polo shirt in an irregular spun fabric. Button-up front. Short sleeves. Ribbed trims.,Men,POLO SHIRTS
Men:POLO SHIRTS:26,TEXTURED POLO SHIRT,Collared polo shirt with a button-up front and short sleeves. Split hem.,Men,POLO SHIRTS
Men:POLO SHIRTS:40,POLO SWEATSHIRT,Collared polo shirt with a buttoned front hidden by a placket. Long sleeves. Ribbed trims.,Men,POLO SHIRTS
Men:POLO SHIRTS:45,PURL KNIT POLO SHIRT,Knit loose-fitting collared polo shirt made of spun cotton fabric. Button fastening on the front. Short sleeves. Ribbed trims.,Men,POLO SHIRTS
Men:POLO SHIRTS:49,TEXTURED KNIT POLO SHIRT,Loose-fitting knit polo shirt made of spun linen and cotton blend fabric. Featuring a collar and front button fastening. Long sleeves. Ribbed trims.,Men,POLO SHIRTS
Men:POLO SHIRTS:51,TEXTURED OVERSIZE KNIT POLO SHIRT,Collared oversize knit polo shirt with a button-up front. Short sleeves. Chest patch pocket. Ribbed trims.,Men,POLO SHIRTS
Men:POLO SHIRTS:53,COTTON AND SILK KNIT POLO SHIRT,Knit polo shirt in a spun cotton and silk blend fabric. Lapel collar with front button fastening and long sleeves. Ribbed trims.,Men,POLO SHIRTS
Men:POLO SHIRTS:58,WAVE JACQUARD KNIT POLO SHIRT,Collared knit polo shirt made of spun cotton blend fabric. Buttoned placket on the front. Short sleeves. Ribbed trims.,Men,POLO SHIRTS
Men:POLO SHIRTS:59,GEOMETRIC JACQUARD KNIT POLO SHIRT,Collared knit polo shirt with front fastening. Short sleeves. Contrast ribbed trims.,Men,POLO SHIRTS
Men:POLO SHIRTS:60,TEXTURED GEOMETRIC PRINT KNIT POLO SHIRT,Knit collared polo shirt with an open texture. Front button fastening. Short sleeves. Ribbed trims.,Men,POLO SHIRTS
Men:POLO SHIRTS:61,TEXTURED RIBBED KNIT POLO SHIRT,Collared knit loose-fitting polo shirt in spun cotton fabric. Button-up front. Short sleeves. Ribbed trims.,Men,POLO SHIRTS
Men:POLO SHIRTS:62,KNIT POLO SHIRT WITH ABSTRACT PRINT,Collared knit polo shirt featuring a button-up front and short sleeves.,Men,POLO SHIRTS
Men:POLO SHIRTS:63,ACID WASH DENIM POLO SHIRT,"Oversize collared polo shirt featuring front button fastening concealed by a placket, short sleeves and faded effect.",Men,POLO SHIRTS
Men:POLO SHIRTS:67,POLO SHIRT WITH CONTRASTING TRIMS,Collared polo shirt with a button-up front. Long sleeves. Ribbed trims.,Men,POLO SHIRTS
Men:POLO SHIRTS:68,TEXTURED POLO SHIRT WITH CONTRAST DETAILS,Collared polo shirt with a button-up front. Short sleeves. Ribbed trims.,Men,POLO SHIRTS
Men:POLO SHIRTS:69,STRIPED TEXTURED POLO SHIRT,Collared polo shirt with a front opening. Short sleeves. Ribbed hem.,Men,POLO SHIRTS
Men:POLO SHIRTS:70,VERTICAL TEXTURED POLO,Collared polo shirt with a front opening. Short sleeves. Ribbed trims.,Men,POLO SHIRTS
Men:POLO SHIRTS:76,LINEN - COTTON POLO SHIRT,Relaxed fit collared shirt made of a linen blend. Front button fastening. Long sleeves with buttoned cuffs. Side vents at the hem.,Men,POLO SHIRTS
Men:POLO SHIRTS:77,TEXTURED POLO SHIRT,Short sleeve polo shirt with a buttoned placket on the front.,Men,POLO SHIRTS
Men:POLO SHIRTS:79,TEXTURED PIQUÉ POLO SHIRT,"Polo shirt with a stand-up collar, front button fastening and short sleeves. Side vents at the hem.",Men,POLO SHIRTS
Men:POLO SHIRTS:85,KNIT POLO SHIRT WITH OPENING,Knit polo shirt made of a spun viscose blend fabric. Featuring a collar with front opening. Long sleeves.,Men,POLO SHIRTS
Men:POLO SHIRTS:89,KNIT COTTON POLO SHIRT,Knit polo shirt made of spun cotton fabric. Buttoned placket on the front. Short sleeves. Ribbed trims.,Men,POLO SHIRTS
Men:POLO SHIRTS:91,RIBBED KNIT POLO SHIRT,Knit polo shirt made of a spun cotton blend. Round neck and short sleeves.,Men,POLO SHIRTS
Men:POLO SHIRTS:93,STRIPED KNIT POLO SHIRT,Collared polo shirt made of a spun viscose blend. Button-up front. Short sleeves. Ribbed trims.,Men,POLO SHIRTS
Men:POLO SHIRTS:98,OVERSIZE FIT POLO SHIRT,Collared oversize fit polo shirt with short sleeves and front button fastening.,Men,POLO SHIRTS
Men:POLO SHIRTS:99,TEXTURED OVERSIZE POLO SHIRT,Collared oversize polo shirt with a button-up front. Short sleeves. Ribbed trims.,Men,POLO SHIRTS
Men:POLO SHIRTS:101,TEXTURED KNIT POLO SHIRT,Loose-fitting collared polo shirt with front button fastening and short sleeves.,Men,POLO SHIRTS
Men:POLO SHIRTS:102,SLOGAN PRINT POLO SHIRT,Collared polo shirt with front opening and short sleeves. Asymmetric hem with side vents.,Men,POLO SHIRTS
Men:POLO SHIRTS:104,POLO SHIRT WITH CONTRAST PATCH,Short sleeve collared polo shirt with a zip up front. Contrast patch detail and prints on the front.,Men,POLO SHIRTS
Men:POLO SHIRTS:106,TEXTURED WEAVE POLO SHIRT WITH ZIP,Regular fit collared polo shirt with front zip fastening. Short sleeves.,Men,POLO SHIRTS
Men:POLO SHIRTS:114,KNIT POLO SHIRT WITH ZIP,Collared knit polo shirt. Front zip fastening. Short sleeves with contrast ribbed trims.,Men,POLO SHIRTS
Men:POLO SHIRTS:118,TEXTURED POLO SHIRT,Collared polo shirt with front button fastening and short sleeves. Side vents at the hem.,Men,POLO SHIRTS
Men:POLO SHIRTS:122,POLO SHIRT WITH MERCERISED FINISH,Polo shirt made of cotton with a mercerised finish. Lapel collar with open front. Short sleeves.,Men,POLO SHIRTS
Men:POLO SHIRTS:126,LINEN - COTTON POLO SHIRT,Polo shirt made of a linen and cotton blend fabric. Lapel collar with front opening. Short sleeves.,Men,POLO SHIRTS
Men:POLO SHIRTS:128,TEXTURED POLO SHIRT,Loose-fitting collared polo shirt with a front opening and short sleeves. Side vents at the hem.,Men,POLO SHIRTS
Men:POLO SHIRTS:134,FLORAL JACQUARD POLO SHIRT,Loose-fitting collared polo shirt with a front opening. Short sleeves. Ribbed hem.,Men,POLO SHIRTS
Men:POLO SHIRTS:139,BASIC KNIT POLO SHIRT,Polo shirt made of spun cotton fabric. Buttoned placket on the front. Short sleeves. Ribbed trims.,Men,POLO SHIRTS
Men:POLO SHIRTS:141,KNIT COTTON POLO SHIRT,Round collar knit polo shirt in spun cotton fabric. Button fastening on the front and short sleeves. Ribbed trims.Origins special collection.,Men,POLO SHIRTS
