id,name,details,gender,category
Men:SHORTS:0,FLORAL JACQUARD BERMUDA SHORTS,Bermuda shorts with an elasticated waistband. Front pockets and back patch pocket detail.,Men,SHORTS
Men:SHORTS:1,JACQUARD BERMUDA SHORTS,Bermuda shorts with an adjustable elasticated waistband. Front pockets and back pocket detail.,Men,SHORTS
Men:SHORTS:2,SHORT JACQUARD BERMUDA SHORTS,Short Bermuda shorts made of a cotton blend fabric. Adjustable elasticated waistband with inner drawstring. Front hip pockets and rear patch pocket detail.,Men,SHORTS
Men:SHORTS:3,GEOMETRIC PRINT JACQUARD BERMUDA SHORTS,"Short Bermuda shorts made of a cotton blend. Featuring an elasticated waistband with adjustable drawstring, front hip pockets and back welt pockets.",Men,SHORTS
Men:SHORTS:5,ABSTRACT JACQUARD BERMUDA SHORTS,Bermuda shorts made of compact fabric. Adjustable elasticated waistband with drawstring. Front pockets and rear pocket detail.,Men,SHORTS
Men:SHORTS:6,GEOMETRIC PRINT JACQUARD BERMUDA SHORTS,Relaxed-fit Bermuda shorts made of a viscose and cotton blend. An adjustable elasticated waistband with drawstring. Side pockets and back welt pockets.,Men,SHORTS
Men:SHORTS:7,STRIPED TEXTURED BERMUDA SHORTS,"Short Bermuda shorts made of a cotton blend. Featuring an elasticated waistband with adjustable drawstring, side hip pockets and back pocket details.",Men,SHORTS
Men:SHORTS:9,STRIPED CROCHET BERMUDA SHORTS,"Bermuda shorts made of an open textured fabric. Waistband with drawstrings, front pockets and back patch pocket detail.",Men,SHORTS
Men:SHORTS:10,STRIPED BERMUDA SHORTS,Bermuda shorts made of a cotton blend fabric. Adjustable elasticated waistband with drawstring. Front pockets and rear pocket detail.,Men,SHORTS
Men:SHORTS:12,COMFORT BERMUDA SHORTS,Bermuda shorts featuring an adjustable elasticated waistband with drawstrings. Front pleats. Front pockets and rear welt pockets. Turn-up hems.,Men,SHORTS
Men:SHORTS:19,PREMIUM BERMUDA JOGGERS,"Bermuda shorts featuring an elastic waistband with adjustable drawstrings, front pockets and rear pocket detail.",Men,SHORTS
Men:SHORTS:27,SOFT DENIM BERMUDA SHORTS,Slim fit Bermuda shorts. Adjustable elasticated waistband with drawstring. Five pockets. Faded effect. Turn-up hems.,Men,SHORTS
Men:SHORTS:31,CREASED-EFFECT BERMUDA SHORTS,Bermuda shorts made of cotton. Adjustable elasticated waistband with drawstring. Side pockets and rear patch pocket detail.,Men,SHORTS
Men:SHORTS:34,COTTON-LINEN BERMUDA SHORTS,Relaxed fit Bermuda shorts made of a linen and cotton blend fabric. Adjustable elasticated waistband with drawstring. Side pockets and rear patch pocket detail. Irregular hem.,Men,SHORTS
