id,name,details,gender,category
Men:SWEATERS_CARDIGANS:0,WIDE-FIT KNIT JOGGERS,Knit trousers with an adjustable elasticated waistband. Side pockets and rear pocket detail.,Men,SWEATERS_CARDIGANS
Men:SWEATERS_CARDIGANS:1,MOCK NECK SWEATER WITH POCKET,Loose-fitting sweater with a mock neck and long sleeves. Chest patch pocket.,Men,SWEATERS_CARDIGANS
Men:SWEATERS_CARDIGANS:8,TURTLENECK SWEATER,Long sleeve turtleneck sweater with ribbed trims.,Men,SWEATERS_CARDIGANS
Men:SWEATERS_CARDIGANS:13,RIBBED COTTON SWEATER,Sweater made of spun cotton fabric. Round neck and long sleeves. Ribbed trims.,Men,SWEATERS_CARDIGANS
Men:SWEATERS_CARDIGANS:15,TEXTURED CABLE-KNIT SWEATER,"Sweater made of a spun cotton blend. Featuring a round neckline, long sleeves and ribbed trims.",Men,SWEATERS_CARDIGANS
Men:SWEATERS_CARDIGANS:17,TEXTURED CROCHET SWEATER,Sweater made of open textured fabric. Round neck and long sleeves. Ribbed trims.,Men,SWEATERS_CARDIGANS
Men:SWEATERS_CARDIGANS:24,STRIPED KNIT POLO SHIRT,"Knit collared polo shirt made of spun cotton fabric. Front button fastening, long sleeves and ribbed trims.",Men,SWEATERS_CARDIGANS
Men:SWEATERS_CARDIGANS:25,HIGH NECK SWEATER WITH ZIP,Sweater made of spun cotton. High neck with front zip fastening and long sleeves. Ribbed trims.,Men,SWEATERS_CARDIGANS
Men:SWEATERS_CARDIGANS:26,CONTRAST KNIT POLO SHIRT,Collared knit polo shirt. Contrast button fastening on the front. Short sleeves. Ribbed trims.,Men,SWEATERS_CARDIGANS
Men:SWEATERS_CARDIGANS:28,CONTRAST KNIT T-SHIRT,Knit T-shirt. Round neck and short sleeves. Contrast ribbed details.,Men,SWEATERS_CARDIGANS
Men:SWEATERS_CARDIGANS:30,TEXTURED CONTRAST CARDIGAN,Cardigan made of spun cotton fabric. V-neckline and short sleeves. Button-up front.,Men,SWEATERS_CARDIGANS
Men:SWEATERS_CARDIGANS:31,TEXTURED CROCHET CARDIGAN,Cardigan made of open textured fabric. V-neck and long sleeves. Ribbed trims. Button-up front.,Men,SWEATERS_CARDIGANS
Men:SWEATERS_CARDIGANS:33,GEOMETRIC PRINT JACQUARD KNIT CARDIGAN,Collared cardigan made of spun cotton blend fabric. Featuring long sleeves and a button-up front.,Men,SWEATERS_CARDIGANS
