id,name,details,gender,category
Men:SWIMWEAR:0,GEOMETRIC PRINT SWIMMING TRUNKS,Swimming trunks made of technical fabric with a velvety finish. Elasticated waistband with drawstrings. Front pockets and pocket detail at the waist. Rear welt pocket. Lining. Includes a bag in the same fabric.,Men,SWIMWEAR
Men:SWIMWEAR:2,BASIC SWIMMING TRUNKS,Swimming trunks made of a technical fabric. Elasticated waistband and adjustable drawstrings. Side pockets and a back patch pocket. Lining.,Men,SWIMWEAR
Men:SWIMWEAR:4,LONG CARGO SWIMMING TRUNKS,Swimming trunks made of a velvety-finish technical fabric. Elasticated waistband and adjustable drawstring. Front pockets and a rear pocket. Patch pocket appliqué with a flap on the leg. Lining.,Men,SWIMWEAR
Men:SWIMWEAR:5,STRIPE PRINT SWIMMING TRUNKS,Swimming trunks made of a technical fabric. Elasticated waistband and adjustable drawstring. Side pockets and a rear pocket. Lining.,Men,SWIMWEAR
Men:SWIMWEAR:10,STRIPE PRINT SWIMMING TRUNKS,Swimming trunks made of a technical fabric. Elasticated waistband and adjustable drawstring. Side pockets and a rear patch pocket. Lining.,Men,SWIMWEAR
Men:SWIMWEAR:11,LONG GEOMETRIC PRINT SWIMMING TRUNKS,"Swimming trunks made of technical fabric with a velvety finish and an elasticated waistband. Featuring front pockets, a rear patch pocket, lining and front zip fly and snap-button fastening.",Men,SWIMWEAR
Men:SWIMWEAR:12,SEERSUCKER SWIMMING TRUNKS,Swimming trunks made of a technical fabric. Elasticated waistband and adjustable drawstrings. Side pockets and a back patch pocket. Lining.,Men,SWIMWEAR
Men:SWIMWEAR:14,SEERSUCKER SWIMMING TRUNKS,Swimming trunks made of a technical fabric. Elasticated waistband and adjustable drawstrings. Side pockets and a back patch pocket. Lining.,Men,SWIMWEAR
Men:SWIMWEAR:20,LONG SWIMMING TRUNKS,Swimming trunks made of a technical fabric. Elastic waistband and adjustable drawstring. Side pockets and a back patch pocket. Lining.,Men,SWIMWEAR
Men:SWIMWEAR:21,SEERSUCKER SWIMMING TRUNKS,Swimming trunks made of a technical fabric. Elastic waistband and adjustable drawstring. Side pockets and a back patch pocket. Lining.,Men,SWIMWEAR
Men:SWIMWEAR:25,GEOMETRIC JACQUARD BEACH TOWEL,Beach towel made of terry cotton.Measurements: 91 x 180 / 35.8 x 70.8″,Men,SWIMWEAR
Men:SWIMWEAR:26,TECHNICAL CHECK TEXTURE SWIMMING TRUNKS,Swimming trunks made of technical fabric. Elasticated waistband. Side pockets and back patch pocket with flap. Lining.,Men,SWIMWEAR
Men:SWIMWEAR:28,CHECKED TECHNICAL SWIMMING TRUNKS,Swimming trunks made of a technical fabric. Adjustable elasticated waistband with drawstring. Side pockets and back welt pocket. Lining.,Men,SWIMWEAR
Men:SWIMWEAR:31,ACID WASH SWIMMING TRUNKS,Swimming trunks made of technical fabric. Adjustable elasticated drawstring waistband. Side pockets and back pocket detail. Lining. Side slits at the hems. Faded acid wash.,Men,SWIMWEAR
Men:SWIMWEAR:32,LONG TIE-DYE SWIMMING TRUNKS,Swimming trunks made of technical fabric. Adjustable elasticated waistband. Front pockets and back zip pocket. Lining.,Men,SWIMWEAR
Men:SWIMWEAR:34,FLORAL PRINT SWIMMING TRUNKS,Swimming trunks made of technical fabric. Elasticated waistband with adjustable drawstring. Front pockets and rear welt pocket. Lining. Includes a bag in the same fabric.,Men,SWIMWEAR
Men:SWIMWEAR:36,LONG SWIMMING TRUNKS WITH SUN DETAIL,Swimming trunks made of a velvety-finish technical fabric. Elasticated waistband with adjustable drawstring. Front pockets and a rear zip pocket. Lining.,Men,SWIMWEAR
Men:SWIMWEAR:37,MOSAIC PRINT SWIMMING TRUNKS,Swimming trunks made of technical fabric. Elasticated waistband with adjustable drawstring. Side pockets and a rear patch pocket with a flap. Lining.,Men,SWIMWEAR
Men:SWIMWEAR:39,LONG PRINTED SWIMMING TRUNKS,Swimming trunks made of a technical fabric. Elasticated waistband and adjustable drawstrings. Side pockets and a back patch pocket. Lining.,Men,SWIMWEAR
Men:SWIMWEAR:42,BASIC SLIM FIT T-SHIRT,Stretch cotton T-shirt featuring a round neck and short sleeves.,Men,SWIMWEAR
Men:SWIMWEAR:44,DOUBLE-STRAP SANDALS,Slide sandals. Two wide straps across the instep with buckle details. Insole with anatomical shoe last and matching chunky sole.,Men,SWIMWEAR
Men:SWIMWEAR:49,SEERSUCKER SWIMMING TRUNKS,Swimming trunks made of technical fabric. Elasticated waistband. Front pockets and side zip pocket detail. Patch pocket at the back. Lining. Side vents at the hem. Zip fly and snap-button fastening.,Men,SWIMWEAR
Men:SWIMWEAR:50,ABSTRACT PRINT SWIMMING TRUNKS,Swimming trunks made of technical fabric. Elasticated waistband and adjustable drawstring. Front welt pockets and back patch pocket detail. Lining.,Men,SWIMWEAR
Men:SWIMWEAR:51,LONG SWIMMING TRUNKS,Swimming trunks made of a technical fabric. Adjustable elasticated waistband with drawstring. Front pockets and back zip pocket. Lining.,Men,SWIMWEAR
Men:SWIMWEAR:53,STRIPED TECHNICAL SWIMMING TRUNKS,Swimming trunks made of a technical fabric. Adjustable elasticated waistband with side tabs. Front pockets and back patch pocket. Lining.,Men,SWIMWEAR
Men:SWIMWEAR:55,TIE-DYE PRINT SWIMMING TRUNKS,Swimming trunks made of a technical fabric. Adjustable elasticated waistband. Side pockets and a rear patch pocket. Lining.,Men,SWIMWEAR
Men:SWIMWEAR:56,LONG TIE-DYE SWIMMING TRUNKS,Swimming trunks made of technical fabric. Adjustable elasticated waistband. Front pockets and back zip pocket. Lining.,Men,SWIMWEAR
Men:SWIMWEAR:58,FLORAL PRINT SWIMMING TRUNKS,Swimming trunks made of technical fabric. Adjustable elasticated waistband with drawstring. Side pockets and back patch pocket with flap. Lining.,Men,SWIMWEAR
