id,name,details,gender,category
Men:T-SHIRTS:0,HEAT-REACTIVE PRINT T-SHIRT,Loose-fitting T-shirt with a round neck and short sleeves. Featuring a front print that changes colour when exposed to heat.,Men,T-SHIRTS
Men:T-SHIRTS:3,T-SHIRT WITH SUNLIGHT-REACTIVE SLOGAN,Loose-fitting T-shirt with a round neck and short sleeves. Featuring a front slogan print that appears when exposed to sunlight.,Men,T-SHIRTS
Men:T-SHIRTS:6,SWEATSHIRT WITH PRINTED SLOGANS,Loose-fitting sweatshirt with a round neck and short sleeves. Featuring a contrast slogan print all over the garment.,Men,T-SHIRTS
Men:T-SHIRTS:7,CONTRAST PRINTED T-SHIRT,T-shirt with a round neckline and short sleeves. Contrast prints on the front and back.,Men,T-SHIRTS
Men:T-SHIRTS:9,SWEATSHIRT WITH EMBROIDERY AND SLOGANS,Round neck sweatshirt with short sleeves. Contrast embroidery and prints on the front and back. Ribbed trims.,Men,T-SHIRTS
Men:T-SHIRTS:11,FADED PRINTED T-SHIRT,"Round neck T-shirt with short sleeves. Contrast print on the front. Vintage faded effect.The garment is unique thanks to its special washing process. For this reason, it may differ in colour from that of the photo.",Men,T-SHIRTS
Men:T-SHIRTS:12,FADED COLOURED T-SHIRT,"Loose-fitting faded T-shirt with a round neckline and short sleeves.The garment is unique thanks to its special dyeing and washing process. For this reason, it may differ in colour from that of the photo.",Men,T-SHIRTS
Men:T-SHIRTS:13,TIE-DYE PRINTED T-SHIRT,"Loose-fitting T-shirt with a round neckline and short sleeves. Creased effect.The garment is unique thanks to its special printing process. For this reason, it may differ in colour from that of the photo.",Men,T-SHIRTS
Men:T-SHIRTS:14,ACID WASH PRINT T-SHIRT,"Acid wash T-shirt with round neck and short sleeves.The garment is unique thanks to its special washing process. For this reason, it may differ in colour from that of the photo.",Men,T-SHIRTS
Men:T-SHIRTS:15,SLOGAN PRINT T-SHIRT,Faded T-shirt with a round neck and short sleeves. Contrast print on the front.,Men,T-SHIRTS
Men:T-SHIRTS:16,BASIC SLIM FIT T-SHIRT,Stretch cotton T-shirt featuring a round neck and short sleeves.,Men,T-SHIRTS
Men:T-SHIRTS:31,SLOGAN PRINT T-SHIRT,Loose-fitting T-shirt with a round neck and short sleeves. Contrast front print.,Men,T-SHIRTS
Men:T-SHIRTS:33,WATERCOLOUR PRINT T-SHIRT,Oversize round neck T-shirt with short sleeves. Contrast prints on the front and back.,Men,T-SHIRTS
