id,name,details,gender,category
Men:TROUSERS:0,WIDE-FIT KNIT JOGGERS,Knit trousers with an adjustable elasticated waistband. Side pockets and rear pocket detail.,Men,TROUSERS
Men:TROUSERS:4,RIBBED JOGGERS,Trousers featuring an adjustable elasticated waistband with drawstring. Front pockets and rear pocket detail.,Men,TROUSERS
Men:TROUSERS:8,SLIM FIT CARGO TROUSERS,Slim fit trousers. Front pockets and rear pocket details. Patch pockets with flaps on the legs. Front zip fly and button fastening.,Men,TROUSERS
Men:TROUSERS:13,STRAIGHT FIT CARGO TROUSERS,Straight fit trousers. Front pockets and back flap pockets. Patch pockets with flaps on the legs. Adjustable hems with tab. Front zip fly and button fastening.,Men,TROUSERS
Men:TROUSERS:15,PLEATED TROUSERS,Relaxed fit trousers. Waistband with front pleated details. Front pockets and rear welt pockets. Front zip fly and button fastening.,Men,TROUSERS
Men:TROUSERS:16,PLEATED TROUSERS WITH BELT,Relaxed fit trousers featuring a waist with front pleats and a belt in the same fabric. Front pockets and rear welt pockets. Front zip and button fastening.,Men,TROUSERS
Men:TROUSERS:20,COMFORT FIT JOGGER WAIST TROUSERS,Trousers made of stretchy fabric. Adjustable inner elasticated waistband. Front and back pockets.,Men,TROUSERS
Men:TROUSERS:24,RELAXED-FIT TROUSERS WITH PLEATS,Relaxed-fit trousers. Waistband with front pleated details. Front pockets and rear pockets with buttoned flaps. Front zip fly and button fastening.,Men,TROUSERS
Men:TROUSERS:25,PLEATED TROUSERS,Straight fit trousers. Waist with front pleated details. Front pockets and rear pocket details. Turn-up hems. Front zip fly and button fastening.,Men,TROUSERS
Men:TROUSERS:29,100% WOOL SUIT TROUSERS - LIMITED EDITION,Relaxed fit trousers with an elasticated waistband with front pleated details. Front pockets and rear jetted pockets. Hidden metal hook and zip fly front fastening.,Men,TROUSERS
Men:TROUSERS:30,100% WOOL SUIT TROUSERS,Slim-fit trousers made of Italian wool fabric. Front pockets and back welt pockets with buttons. Hidden metal hook and zip fly fastening at the front.,Men,TROUSERS
Men:TROUSERS:32,100% WOOL SUIT TROUSERS,Slim fit trousers made of Italian wool fabric. Front pockets and rear welt pockets. Front zip fly and crossover button fastening.,Men,TROUSERS
Men:TROUSERS:34,TECHNICAL TRAINING TROUSERS,Trousers made of lightweight and stretchy technical fabric.- Elastic waistband with drawstrings. - Front pockets with autolock zip fastening. - Hem with elasticated cuffs. - Printed logo detail.Zara Athleticz.,Men,TROUSERS
Men:TROUSERS:39,JOGGER WAIST COTTON TROUSERS,Trousers made of compact cotton fabric. Adjustable elastic waistband with drawstring. Side welt pockets with zip closures. Cuffed hems.Zara Athleticz.,Men,TROUSERS
Men:TROUSERS:47,RELAXED-FIT SUIT,Relaxed fit trousers. Front pockets and rear welt pockets. Front zip fly and button fastening.,Men,TROUSERS
