id,name,details,gender,category
Men:ZARA ATHLETICZ:0,TECHNICAL TRAINING TROUSERS,Trousers made of lightweight and stretchy technical fabric.- Elastic waistband with drawstrings. - Front pockets with autolock zip fastening. - Hem with elasticated cuffs. - Printed logo detail.Zara Athleticz.,Men,ZARA ATHLETICZ
Men:ZARA ATHLETICZ:1,BASIC TRAINING SHORTS,Workout shorts made of lightweight stretchy technical fabric.- Elasticated waistband with drawstrings.- Side pockets.- Security pocket on the back with a thermo-sealed zip closure.- Lining.- Inner leg length: 18 . / 7.0″- Side slits at the hem.- Logo print on the leg.Zara Athleticz.,Men,ZARA ATHLETICZ
Men:ZARA ATHLETICZ:2,COTTON HOODIE,Hoodie made of compact cotton fabric. Adjustable hood and long sleeves. Front pouch pocket. Ribbed trims.Zara Athleticz.,Men,ZARA ATHLETICZ
Men:ZARA ATHLETICZ:3,JOGGER WAIST COTTON TROUSERS,Trousers made of compact cotton fabric. Adjustable elastic waistband with drawstring. Side welt pockets with zip closures. Cuffed hems.Zara Athleticz.,Men,ZARA ATHLETICZ
Men:ZARA ATHLETICZ:6,T-SHIRT WITH PRINTED LOGO,T-shirt made of a cotton fabric. Round neck and short sleeves. Contrast prints on the front and back.Zara Athleticz.,Men,ZARA ATHLETICZ
Men:ZARA ATHLETICZ:9,CROSS TRAINING SNEAKERS,"Sneakers. Designed for training, with improved shock absorption, a stabilising heel that holds the entire back of the foot and a reinforced toecap. Made of a special fabric that is highly resistant to friction thanks to the form of the threads, which also helps breathability. Replaceable insole. ATHLETICZ Collection.",Men,ZARA ATHLETICZ
Men:ZARA ATHLETICZ:11,TECHNICAL BACKPACK,"Multi-pocket backpack. The main compartment has zip closure and its interior has three small pockets with zip closure. Featuring two large front pockets, one with zip and the other with adjustable fastening. Side pockets with adjustable fastening. Top handle and two adjustable shoulder straps. Ergonomic padded back for improved comfort during use. Adjustable strap on the chest with clip buckle fastening.",Men,ZARA ATHLETICZ
Men:ZARA ATHLETICZ:12,REFLECTIVE EFFECT JACKET,Jacket made of a very lightweight and reflective technical fabric.- High neck with stow-away hood on the inside.- Long sleeves with elastic cuffs.- Thermo-sealed inner seams.- Pocket with autolock zip fastening on the chest and hip pockets.- Adjustable hem with elastic at the sides.- Logo print on the front.Zara Athleticz.,Men,ZARA ATHLETICZ
Men:ZARA ATHLETICZ:14,HATTHANAN™ PRINT T-SHIRT,T-shirt made of cotton. Round neck and short sleeves. Contrast Hatthanan™ graphic print on the back.Zara Athleticz.,Men,ZARA ATHLETICZ
Men:ZARA ATHLETICZ:16,TECHNICAL TRAINING SWEATSHIRT,Sweatshirt made of an elastic and lightweight technical fabric.- Round neck and long sleeves with ribbed cuffs. - Adjustable hem with elastic side gores. - Printed front logo detail.Zara Athleticz.,Men,ZARA ATHLETICZ
Men:ZARA ATHLETICZ:18,TRAINING TANK TOP,T-shirt made of lightweight textured stretch fabric that moves in every direction.- Sleeveless with a round neck.- Printed logo detail.Zara Athleticz.,Men,ZARA ATHLETICZ
Men:ZARA ATHLETICZ:19,2-IN-1 TRAINING SHORTS,"Training shorts made of lightweight, stretchy technical fabric. Inner mesh. Designed to practise any sport.- Elasticated waistband with inner drawstrings.- Front pockets.- Reflective effect seams.- Inner leg length: 12 . / 4.7″- Side slits at the hem.- Printed logo detail.Zara Athleticz.",Men,ZARA ATHLETICZ
Men:ZARA ATHLETICZ:21,SPORTS BACKPACK,Multi-pocket backpack. Combination of materials and colours on the exterior. The main compartment fastens with a zip and features an inside pocket without closure for electronic devices of up to 13 . On the front it has a flat pocket with zip closure. Adjustable mesh pockets on the sides. Top handle and two adjustable shoulder straps with zip pockets. Ergonomic padded back for improved comfort during use. Adjustable chest strap with clip buckle fastening.,Men,ZARA ATHLETICZ
Men:ZARA ATHLETICZ:24,TECHNICAL WINDBREAKER JACKET,Jacket made of very lightweight technical fabric. - High neck with adjustable hood. - Long sleeves featuring adjustable cuffs with tabs.- Hip welt pockets.- Adjustable hem with elastic at the sides.- Logo print on the front.Zara Athleticz.,Men,ZARA ATHLETICZ
Men:ZARA ATHLETICZ:25,CONTRAST PRINTED T-SHIRT,Loose-fitting T-shirt made of a cotton fabric. Round neck and short sleeves. Contrast prints on the front and back.Zara Athleticz.,Men,ZARA ATHLETICZ
Men:ZARA ATHLETICZ:30,CONTRAST PRINTED T-SHIRT,Loose-fitting T-shirt made of cotton fabric. Round neck and short sleeves. Contrast reflective-effect prints on the front and back.Zara Athleticz.,Men,ZARA ATHLETICZ
Men:ZARA ATHLETICZ:32,TECHNICAL BUCKET HAT,Bucket hat made of breathable stretch fabric. Adjustable matching drawstring.Zara Athleticz.,Men,ZARA ATHLETICZ
Men:ZARA ATHLETICZ:33,ROLLTOP SPORTS BACKPACK,"Multi-pocket backpack. Combination of materials on the exterior. The main compartment fastens with a zip and rolls up with clip buckles on both sides. It also opens from the front with a zip closure. Two small front pockets with thermo-sealed zip fastening. Featuring two adjustable mesh pockets on the sides. Top handle and two adjustable, breathable shoulder straps. Each compartment has a thermo-sealed zip closure. Ergonomic padded back for improved comfort during use. Adjustable chest with clip buckle fastening.",Men,ZARA ATHLETICZ
Men:ZARA ATHLETICZ:34,PACK OF 3 TRAINING SOCKS,Pack of 3 pairs of socks made of a spun cotton blend fabric. Ribbed trims.Zara Athleticz.,Men,ZARA ATHLETICZ
Men:ZARA ATHLETICZ:35,PACK OF 2 TRAINING SOCKS,Pack of 2 pairs of seamless socks with ribbed trims.Zara Athleticz.,Men,ZARA ATHLETICZ
Men:ZARA ATHLETICZ:37,TRAINING TANK TOP,"T-shirt made of lightweight textured stretch fabric that moves in every direction.- Sleeveless and with a round neckline. Its seams are flat, to avoid skin abrasions.- Printed logo detail.Zara Athleticz.",Men,ZARA ATHLETICZ
Men:ZARA ATHLETICZ:38,TEXTURED TRAINING T-SHIRT,"T-shirt made of a textured technical fabric, lightweight and elastic that moves in every direction.- Round neck T-shirt with short sleeves.- Side slits at the hem.- Printed logo detail on the hem.Zara Athleticz.",Men,ZARA ATHLETICZ
Men:ZARA ATHLETICZ:40,NYLON TOILETRY BAG,Toiletry bag. Combination of materials on the upper. Main compartment with zip closure. Six small pockets on the inside without fastening. Side pockets with technical clasp fastening. Two handles on each side in different sizes.,Men,ZARA ATHLETICZ
Men:ZARA ATHLETICZ:43,HATTHANAN™ PRINT HOODIE,Adjustable hoodie with long sleeves. Contrast Hatthanan™ graphic print on the back. Ribbed trims.Zara Athleticz.,Men,ZARA ATHLETICZ
Men:ZARA ATHLETICZ:47,RUNNING SNEAKERS,Running sneakers with Spume Foam technology that guarantees lightness and comfort. Contrast colours and materials on the upper. Six-eyelet facing. Slightly chunky track sole.ATHLETICZ Collection.,Men,ZARA ATHLETICZ
Men:ZARA ATHLETICZ:48,NYLON BELT BAG,Soft belt bag. Technical fabric upper. Main compartment with zip closure. Front pocket with technical clasp. Adjustable handle with clip buckle.,Men,ZARA ATHLETICZ
Men:ZARA ATHLETICZ:49,MONOCHROME SLIDES,Monochrome slider sandals. Wide strap across the instep. Matching chunky sole.ATHLETICZ Collection.,Men,ZARA ATHLETICZ
Men:ZARA ATHLETICZ:51,TECHNICAL ANORAK WINDBREAKER,Anorak windbreaker made of very lightweight technical fabric. - High neck with adjustable hood and autolock zip fastening at the front. - Long sleeves with elastic cuffs.- Pocket with a zip on the chest.- Adjustable hem with elastic at the sides.- Logo print on the front.Zara Athleticz.,Men,ZARA ATHLETICZ
Men:ZARA ATHLETICZ:52,SLOGAN PRINT T-SHIRT,T-shirt made of cotton. Round neck and short sleeves. Contrast slogan prints on the front and back.Zara Athleticz.,Men,ZARA ATHLETICZ
Men:ZARA ATHLETICZ:56,WORKOUT T-SHIRT,T-shirt made of lightweight textured stretch fabric that moves in every direction.- Round neck T-shirt with short sleeves. - Printed logo detail on the hem.Zara Athleticz.,Men,ZARA ATHLETICZ
Men:ZARA ATHLETICZ:57,RUNNING SNEAKERS,Running sneakers with Spume Foam technology that guarantees lightness and comfort. Contrast colours and materials on the upper. Six-eyelet facing that can be adjusted with a technical piece. Chunky track sole.ATHLETICZ Collection.,Men,ZARA ATHLETICZ
Men:ZARA ATHLETICZ:58,TRAINING SHORTS,Workout shorts made of lightweight stretchy technical fabric.- Elastic waistband with drawstrings.- Security pocket on the back with a thermo-sealed zip closure.- Lining.- Inner leg length: 7 . / 2.7″- Side slits at the hem.- Logo print on the leg.Zara Athleticz.,Men,ZARA ATHLETICZ
Men:ZARA ATHLETICZ:59,WORKOUT T-SHIRT,T-shirt made of lightweight textured stretch fabric that moves in every direction.- Round neck T-shirt with short sleeves.- Printed logo detail on the hem.Zara Athleticz.,Men,ZARA ATHLETICZ
Men:ZARA ATHLETICZ:60,SPORTS BACKPACK,Multi-pocket backpack. Combination of materials and colours on the upper. The main compartment has two zip fastenings at different heights (the top access to the pocket is adjustable on each side thanks to two technical fasteners). Two adjustable mesh pockets on the sides. Top handle and two adjustable shoulder straps. Ergonomic padded back for improved comfort during use. Adjustable strap to the chest with clip buckle fastening.,Men,ZARA ATHLETICZ
Men:ZARA ATHLETICZ:63,COMPACT COTTON T-SHIRT,Loose-fitting T-shirt made of compact cotton. Round neckline and short sleeves. Contrast logo print on the hem.Zara Athleticz.,Men,ZARA ATHLETICZ
Men:ZARA ATHLETICZ:66,TANK TOP WITH SLOGAN,Loose-fitting T-shirt made of cotton. Round neck and short sleeves. Contrast slogan print on the front.Zara Athleticz.,Men,ZARA ATHLETICZ
Men:ZARA ATHLETICZ:67,TRAINING SOCKS,Pack of 2 pairs of seamless mesh socks with ribbed trims.,Men,ZARA ATHLETICZ
Men:ZARA ATHLETICZ:68,TRAINING TANK TOP,Loose-fitting T-shirt made of lightweight technical stretch fabric that moves in every direction.- Sleeveless with a round neck.- Front vents at the hem.- Logo print on the hem.Zara Athleticz.,Men,ZARA ATHLETICZ
Men:ZARA ATHLETICZ:69,BASIC TRAINING T-SHIRT,"T-shirt made of a technical, lightweight and stretch fabric. - Round neck and short sleeves. - Flat seams, more resistant and ideal for movement.- Printed logo detail.",Men,ZARA ATHLETICZ
Men:ZARA ATHLETICZ:70,COMFORT WORKOUT T-SHIRT,"T-shirt made of a lightweight and elastic fabric in every direction.- Round neck T-shirt with short sleeves.- Flat seams, more resistant and ideal for movement.- Printed logo detail.Zara Athleticz.",Men,ZARA ATHLETICZ
Men:ZARA ATHLETICZ:73,JOGGER BERMUDA SHORTS WITH EMBROIDERY,Bermuda shorts with an adjustable elasticated waistband with drawstring. Side pockets and back pocket detail. Contrast embroidery on the leg.Zara Athleticz.,Men,ZARA ATHLETICZ
Men:ZARA ATHLETICZ:74,RIBBED TANK TOP,Sleeveless top with a wide round neck.Zara Athleticz.,Men,ZARA ATHLETICZ
