id,name,details,gender,category
Women:BAGS:0,FABRIC BELT BAG,Fabric belt bag. Adjustable strap. Front zip pocket. Zip closure.,Women,BAGS
Women:BAGS:1,FABRIC CROSSBODY BAG,Fabric crossbody bag. Adjustable fabric crossbody strap. Zip closure.,Women,BAGS
Women:BAGS:2,FABRIC CROSSBODY BAG,Fabric crossbody bag. Adjustable fabric crossbody strap. Zip closure.,Women,BAGS
Women:BAGS:4,CROSSBODY PURSE,Crossbody bag that converts into a clutch. Interior with several compartments. Detachable chain shoulder strap. Golden metal hardware. Zip closure.,Women,BAGS
Women:BAGS:8,CROSSBODY BAG,Crossbody bag with adjustable strap. Lining. Zip closure.,Women,BAGS
Women:BAGS:10,CROCHET BUCKET BAG WITH FRINGING,Crochet bucket bag with fringing on the sides. Shoulder strap. Magnetic clasp closure.,Women,BAGS
Women:BAGS:13,FAUX PEARL SHOULDER BAG,Shoulder bag with faux pearl exterior. Shoulder strap and detachable crossbody strap. Lined interior. Magnetic clasp closure.,Women,BAGS
Women:BAGS:15,PATCHWORK SHOULDER BAG,Shoulder bag in patchwork-effect fabric. Front and side flap pockets. Shoulder straps. Zip closure.,Women,BAGS
Women:BAGS:16,PATCHWORK BELT BAG WITH POCKETS,Belt bag in denim fabric. Patchwork-effect pockets in different sizes. Adjustable strap.,Women,BAGS
Women:BAGS:19,METALLIC FABRIC TOTE BAG,Metallic-effect tote bag. Shoulder straps. Zip closure.,Women,BAGS
Women:BAGS:20,METALLIC FABRIC TOTE BAG,Metallic-effect tote bag. Handles and shoulder straps. Magnetic clasp closure.,Women,BAGS
Women:BAGS:22,METALLIC MINAUDIÈRE,Oval minaudière. Brushed metallic effect. Chain crossbody strap. Metal clasp closure.,Women,BAGS
Women:BAGS:23,CROSSBODY BUCKET BAG,Bucket bag. Handle and detachable and adjustable crossbody strap. Inner fabric bag with gathered closure.,Women,BAGS
Women:BAGS:24,CROSSBODY BUCKET BAG,Not Found,Women,BAGS
Women:BAGS:28,CROSSBODY BAG WITH METAL PIECE,Crossbody bag. Matching metal piece on the front. Adjustable and detachable canvas strap and a crossbody strap. Double compartment. Zip closure.,Women,BAGS
Women:BAGS:31,CROSSBODY BAG,"Crossbody bag with a flap. Two adjustable and detachable straps, one a canvas shoulder strap and the other a crossbody strap. Magnetic clasp closure.",Women,BAGS
Women:BAGS:33,CROSSBODY BAG WITH TOPSTITCHING,"Crossbody bag with topstitching detail. Long crossbody strap and canvas fabric handle, both adjustable and detachable. Magnetic clasp on the flap.",Women,BAGS
Women:BAGS:36,CONTRAST CROSSBODY BAG,Crossbody bag in a combination of materials with a flap. Shoulder strap. Magnetic clasp closure.,Women,BAGS
Women:BAGS:37,CONTRAST BUCKET BAG,Bucket bag in a combination of materials. Adjustable crossbody strap. Magnetic clasp closure.,Women,BAGS
Women:BAGS:38,FABRIC SHOULDER BAG,Fabric shoulder bag with frayed detail. Magnetic clasp closure on the flap. Shoulder strap.,Women,BAGS
Women:BAGS:41,CROSSBODY BAG WITH PEARLS,Crossbody bag. Faux pearl beads on the exterior. Lining. Shoulder strap and detachable crossbody strap. Magnetic clasp closure.,Women,BAGS
Women:BAGS:42,FAUX PEARL BEAD BUCKET BAG,Bucket bag with faux pearl beads on the exterior. Shoulder strap. Zip closure.,Women,BAGS
Women:BAGS:43,SHINY SHOULDER BAG,Shoulder bag with rhinestones. Lined interior. Shoulder strap. Zip fastening.,Women,BAGS
Women:BAGS:44,BEADED BUCKET BAG WITH RHINESTONES,Bucket bag with rhinestones and fringing. Top handles. Gathered drawstring closure.,Women,BAGS
