id,name,details,gender,category
Women:BLAZERS:0,TAILORED DOUBLE-BREASTED BLAZER,Blazer featuring a lapel collar with long sleeves and padded shoulders. Front flap pockets. Double-breasted button fastening on the front.,Women,BLAZERS
Women:BLAZERS:1,STRIPE TEXTURED BLAZER,Lapelless blazer with long sleeves and shoulder pads. Front patch pockets. Metal hook fastening at the front.,Women,BLAZERS
Women:BLAZERS:2,TAILORED WAISTCOAT,Sleeveless waistcoat with a V-neck. Front jetted pockets on the front. Button-up front.,Women,BLAZERS
Women:BLAZERS:3,STRAIGHT BLAZER,Blazer featuring a lapel collar with long sleeves and padded shoulders. Front flap pockets. Single button fastening on the front.,Women,BLAZERS
Women:BLAZERS:4,BLAZER WITH ROLLED-UP SLEEVES,Open blazer with a lapel collar and padded shoulders. Turn-up sleeves falling below the elbow with sleeve tabs and a golden button. Front flap pockets.,Women,BLAZERS
Women:BLAZERS:5,HIGH NECK TEXTURED BLAZER,Blazer featuring a high neck and long sleeves with padded shoulders. False flap pockets and front patch pockets. Front hook fastening.,Women,BLAZERS
Women:BLAZERS:6,SHORT TAILORED WAISTCOAT,V-neck waistcoat. Featuring false welt pockets and button fastening on the front.,Women,BLAZERS
Women:BLAZERS:7,FITTED BLAZER WITH SEAMS,Blazer with a lapel collar and long sleeves with shoulder pads. Front flap pockets. Visible seam detail on the waist. Fastens at the front with buttons.,Women,BLAZERS
Women:BLAZERS:10,LONG BLAZER WITH BELT,"Blazer with a lapel collar, long sleeves and shoulder pads. Front flap pockets. Belt with buckle lined in matching fabric. Contrast lining. Double-breasted fastening with covered buttons.",Women,BLAZERS
Women:BLAZERS:11,CROPPED BLAZER WITH FEATHERS,Cropped blazer featuring a lapel collar and long sleeves with matching detachable feathers. False welt pockets on the front. Matching lining. Front button fastening.,Women,BLAZERS
Women:BLAZERS:15,CAPE BLAZER,"Open blazer with no lapels, long cape-style sleeves and matching lining.",Women,BLAZERS
Women:BLAZERS:17,TAILORED WAISTCOAT,Fitted V-neck waistcoat with front button fastening.,Women,BLAZERS
Women:BLAZERS:19,TAILORED WAISTCOAT,V-neck waistcoat. Featuring false jetted pockets and button fastening on the front.,Women,BLAZERS
Women:BLAZERS:20,CROPPED BLAZER WITH POCKET,Cropped blazer with a lapel collar and long sleeves with vents and buttons. Buttoned welt pocket on the chest. Matching lining.,Women,BLAZERS
Women:BLAZERS:21,SATIN LAPEL COLLAR BLAZER,Satin blazer with a lapel collar and long sleeves with padded shoulders. Button fastening on the front.,Women,BLAZERS
Women:BLAZERS:22,DOUBLE-BREASTED OVERSIZED BLAZER,"Loose-fitting blazer featuring a lapel collar, long sleeves with pronounced shoulders, front flap pockets and front double-breasted button fastening.",Women,BLAZERS
Women:BLAZERS:25,LINEN BLEND ROLL-UP SLEEVE OPEN BLAZER,Blazer made of a linen blend fabric. Lapel collar and roll-up sleeves with buttoned tabs. Padded shoulders. Front flap pockets.,Women,BLAZERS
Women:BLAZERS:26,TEXTURED DOUBLE-BREASTED BLAZER,Fitted blazer featuring a lapel collar and long sleeves with shoulder pads. Featuring front welt pockets and double-breasted front button fastening.,Women,BLAZERS
Women:BLAZERS:27,LAPELLESS SHORT BLAZER,Lapelless short blazer featuring long sleeves with openings. Front welt pockets. Matching lining.,Women,BLAZERS
Women:BLAZERS:30,TAILORED LINEN BLEND WAISTCOAT,V-neck waistcoat made of a linen blend. Featuring front welt pockets and front button fastening.,Women,BLAZERS
Women:BLAZERS:31,TAILORED LINEN WAISTCOAT,V-neck waistcoat made of 100% linen. Front welt pockets and front button fastening.,Women,BLAZERS
Women:BLAZERS:32,TEXTURED VEST WITH FRAYED TRIMS,Sleeveless waistcoat with a lapel collar. Front patch pockets. Fringed trim details. Golden embossed button front fastening.,Women,BLAZERS
Women:BLAZERS:33,WAISTCOAT WITH VENT,Waistcoat made of viscose. V-neck. Back vent at the hem. Lining. Button-up front.,Women,BLAZERS
Women:BLAZERS:34,DOUBLE-BREASTED BLAZER WITH LAPEL COLLAR,"Blazer with a lapel collar, long sleeves and padded shoulders. Front flap pockets and a welt chest pocket. Matching lining. Covered buttons on this front.",Women,BLAZERS
Women:BLAZERS:35,BASIC BLAZER,Blazer featuring a lapel collar and long sleeves with padded shoulders. Front flap pockets and a chest welt pocket. Back vent at the hem. Button-up front.,Women,BLAZERS
Women:BLAZERS:40,CROSSOVER WAISTCOAT,Waistcoat with a lapel collar and pronounced shoulders. Featuring false front welt pockets and double breasted button fastening on the front.,Women,BLAZERS
Women:BLAZERS:41,CROPPED LINEN BLEND WAISTCOAT,Short sleeveless waistcoat made of a linen blend fabric. V-neck. False welt pockets on the front. Matching lining. Button-up front.,Women,BLAZERS
Women:BLAZERS:44,LINEN BLEND WAISTCOAT,Sleeveless waistcoat made of a linen blend fabric. V-neck. False welt pockets on the front. Button-up front.,Women,BLAZERS
Women:BLAZERS:46,WRINKLED-EFFECT DOUBLE-BREASTED BLAZER,Blazer featuring a lapel collar and turn-up long sleeves. Double-breasted fastening on the front with buttons.,Women,BLAZERS
Women:BLAZERS:47,DOUBLE-BREASTED LINEN BLEND BLAZER,"Blazer made of linen blend fabric. Lapel collar, long sleeves and padded shoulders. Front flap pockets. Double-breasted front button fastening.",Women,BLAZERS
Women:BLAZERS:48,TEXTURED DOUBLE-BREASTED BLAZER,Blazer featuring a lapel collar and long sleeves with shoulder pads. Featuring front pockets with flaps and double-breasted front fastening with textured gold buttons.,Women,BLAZERS
Women:BLAZERS:49,LINEN BLEND WAISTCOAT,Waistcoat made of a linen blend. V-neckline and no sleeves. Matching lining. Button-up front.,Women,BLAZERS
Women:BLAZERS:50,LINEN BLEND OVERSIZE WAISTCOAT,Sleeveless loose-fitting waistcoat made of a linen blend. Lapel collar. Flap pockets on the front and chest welt pockets. Matching lining. Back vent at the hem. Button-up front.,Women,BLAZERS
Women:BLAZERS:52,TEXTURED DOUBLE-BREASTED BLAZER,"Blazer featuring a lapel collar, long sleeves and padded shoulders. Frayed trims. Double-breasted button fastening on the front.",Women,BLAZERS
Women:BLAZERS:54,LINEN BLAZER WITH PRINTED CUFFS,"Open blazer featuring a lapel collar, turn-up long sleeves and padded shoulders. Front flap pockets.",Women,BLAZERS
Women:BLAZERS:56,CROPPED DOUBLE-BREASTED BLAZER,Blazer featuring a lapel collar and long sleeves with shoulder pads. Double-breasted front with buttons.,Women,BLAZERS
Women:BLAZERS:58,LINEN WAISTCOAT WITH TOPSTITCHING,Short collared waistcoat made of 100% linen. Patch pockets with buttoned flaps on the front. Contrast visible topstitching details. Button-up front.,Women,BLAZERS
Women:BLAZERS:59,LINEN BLEND WAISTCOAT,Waistcoat made of a linen and lyocell blend. V-neckline and no sleeves. Lining. Button-up front.,Women,BLAZERS
Women:BLAZERS:60,OPEN BACK HALTER WAISTCOAT,Halter waistcoat featuring a V-neck and made of a wool blend. False welt pockets on the front. Open back and adjustable strap in the same fabric with buckle. Asymmetric hem. Button-up front.,Women,BLAZERS
Women:BLAZERS:61,LINEN BLEND WAISTCOAT,Waistcoat made of a linen blend fabric. V-neck. False welt pockets on the front. Matching lining. Button-up front.,Women,BLAZERS
Women:BLAZERS:64,HIGH COLLAR BLAZER,Blazer with a high neck and long sleeves with pronounced shoulders. Featuring front patch pockets and front metal hook fastening.,Women,BLAZERS
Women:BLAZERS:65,DOUBLE-BREASTED LINEN BLEND BLAZER,"Blazer made a linen blend fabric. Lapel collar, long sleeves and padded shoulders. Front flap pockets. Double-breasted front button fastening.",Women,BLAZERS
Women:BLAZERS:67,SHORT BLAZER WITH PADDED SHOULDERS,Collarless blazer featuring long sleeves with padded shoulders. Double-breasted front button fastening.,Women,BLAZERS
Women:BLAZERS:68,LINEN BLEND CROPPED BLAZER,Blazer made of a linen blend fabric. Lapel collar with long sleeves and padded shoulders. Hidden snap-button fastening on the front.,Women,BLAZERS
Women:BLAZERS:69,STRIPED LINEN BLEND BLAZER,"Blazer made a linen blend fabric. Lapel collar, long sleeves and padded shoulders. Front flap pockets. Front button fastening.",Women,BLAZERS
Women:BLAZERS:70,TIE-DYE LINEN BLEND BLAZER,"Blazer made of a linen and cotton blend. Lapel collar, V-neck and long sleeves. Front flap pockets. Button fastening at the front.",Women,BLAZERS
Women:BLAZERS:73,CROPPED WAISTCOAT,Sleeveless collared gilet with shoulder pads. Front button fastening.,Women,BLAZERS
Women:BLAZERS:74,STRAIGHT BLAZER WITH POCKETS,Straight blazer made of a cotton blend. Lapel collar and long sleeves. Front flap pockets. Back vent at the hem. Button-up front.,Women,BLAZERS
Women:BLAZERS:75,ASYMMETRIC DOUBLE-BREASTED WAISTCOAT - LIMITED EDITION,Waistcoat made of linen blend. V-neckline. False welt pocket on the front. Tab detail in the same fabric at the back. Asymmetric hem. Double-breasted button-up front.,Women,BLAZERS
Women:BLAZERS:76,LINEN BLAZER,"Blazer made of 100% linen. Lapel collar, V-neckline and long sleeves. Front flap pockets. Matching lining. Front button fastening.",Women,BLAZERS
Women:BLAZERS:78,SHORT TEXTURED WEAVE BLAZER,Blazer with a lapel collar and long sleeves with shoulder pads. Double-breasted front with golden buttons.,Women,BLAZERS
Women:BLAZERS:79,STRAIGHT BLAZER,Blazer with a lapel collar. Long sleeves with shoulder pads. Front pockets with flaps. Matching lining. Button-up front.,Women,BLAZERS
Women:BLAZERS:80,SHORT TEXTURED WEAVE BLAZER,Collarless blazer with long sleeves. Front patch pockets with flaps. Front button fastening.,Women,BLAZERS
Women:BLAZERS:81,TEXTURED BLAZER WITH PATCH POCKETS,Blazer featuring a lapel collar and long sleeves with tabs and buttons on the shoulders. Front patch pockets with flaps. Button-up front.,Women,BLAZERS
Women:BLAZERS:83,CREASED-EFFECT STRAIGHT RUSTIC BLAZER,"Blazer featuring a lapel collar, long sleeves and shoulder pads. Front flap pockets. Button-up front.",Women,BLAZERS
Women:BLAZERS:86,LOOSE-FITTING BLAZER,"Blazer with a lapel collar, long sleeves and shoulder pads. Front flap pockets. Front button-up fastening.",Women,BLAZERS
Women:BLAZERS:89,SHAWL COLLAR BLAZER WITH BELT,"Shawl collar blazer with long sleeves. Featuring front pockets, welt chest pockets, a tie belt in the same fabric, lining and hidden button fastening at the front.",Women,BLAZERS
Women:BLAZERS:91,BLAZER WITH PRINTED CUFFS,"Open blazer featuring a lapel collar, turn-up long sleeves with printed cuffs and padded shoulders. Front flap pockets.",Women,BLAZERS
Women:BLAZERS:92,LONG FITTED BLAZER,Long sleeve blazer with a lapel collar and shoulder pads. Featuring front flap pockets and double-breasted button fastening at the front.,Women,BLAZERS
Women:BLAZERS:93,TAILORED LINEN BLEND WAISTCOAT,"V-neck waistcoat made of a linen blend. Featuring false front welt pockets, tab at the back and front button fastening.",Women,BLAZERS
Women:BLAZERS:94,RELAXED FIT LINEN BLAZER - LIMITED EDITION,Relaxed fit blazer made of 100% linen. Lapel collar and long sleeves with a buttoned opening. Front patch pockets. Double-breasted front fastening with matching buttons.,Women,BLAZERS
