id,name,details,gender,category
Women:CO-ORD SETS:0,Not Found,Not Found,Women,CO-ORD SETS
Women:CO-ORD SETS:1,TEXTURED JACQUARD TOP,ROUND NECK - NORMAL LENGTH - SHORT SLEEVESRound neck T-shirt with short sleeves. Textured fabric detail.,Women,CO-ORD SETS
Women:CO-ORD SETS:2,TEXTURED JACQUARD TROUSERS,High-waist trousers with an inner elasticated waistband. Textured fabric detail. Wide-leg design.,Women,CO-ORD SETS
Women:CO-ORD SETS:3,Z1975 DENIM SHIRT,Collared shirt with long sleeves. Front patch pockets with flaps. Front fastening with metal buttons.,Women,CO-ORD SETS
Women:CO-ORD SETS:6,SEMI-SHEER BLOUSE WITH RUFFLE TRIMS,"Semi-sheer blouse featuring a V-neckline, long cape sleeves with drawstrings, ruffled details in matching fabric, asymmetric hem and front fastening with matching ties. Made of viscose.",Women,CO-ORD SETS
Women:CO-ORD SETS:7,LONG DRESS WITH RUFFLES,Long dress made of viscose. V-neck and thin straps. Ruffle details in the same fabric.,Women,CO-ORD SETS
Women:CO-ORD SETS:8,HIGH-WAIST CULOTTE TROUSERS,"High-waist trousers featuring front pockets and rear welt pockets. Short and wide leg design. Front zip fly, interior button and metal hook fastening.",Women,CO-ORD SETS
Women:CO-ORD SETS:14,FLOWING ASYMMETRIC CAPE,Flowing cape with a round neck and an asymmetric hem.,Women,CO-ORD SETS
Women:CO-ORD SETS:15,STRAPLESS FLOWING JUMPSUIT,Straight-leg strapless jumpsuit. Layered cape detail in the same fabric.,Women,CO-ORD SETS
Women:CO-ORD SETS:20,MINIMALIST BLOUSE WITH BELT,Semi-sheer blouse made of a viscose blend. V-neckline and long sleeves. Tied belt in the same fabric. Side vents at the hem.,Women,CO-ORD SETS
Women:CO-ORD SETS:21,MINIMALIST PALAZZO TROUSERS,Semi-sheer trousers made of a viscose blend. Elasticated waistband. Side pockets hidden in the seam. Lining. Wide leg.,Women,CO-ORD SETS
Women:CO-ORD SETS:23,ASYMMETRIC SHIRT WITH STRIPES,"Shirt with an asymmetric neckline, long sleeves and pleats at the waist.",Women,CO-ORD SETS
Women:CO-ORD SETS:24,STRIPED PALAZZO TROUSERS,High-waist trousers with an elastic waistband and wide-leg design.,Women,CO-ORD SETS
Women:CO-ORD SETS:26,ANIMAL PRINT SATIN SHIRT,Flowing collared shirt with long cuffed sleeves. Button-up front.,Women,CO-ORD SETS
Women:CO-ORD SETS:27,ANIMAL PRINT FLARED TROUSERS,"Flowing high-waist trousers. Flared hems. Front zip fly, inside button and metal hook fastening.",Women,CO-ORD SETS
Women:CO-ORD SETS:29,ASYMMETRIC GATHERED TOP,Sleeveless round neck top made of stretch fabric. Featuring an asymmetric hem and a buttoned opening at the back.,Women,CO-ORD SETS
Women:CO-ORD SETS:30,CROPPED FLARED LEGGINGS,High-waist stretchy leggings. Flared hems.,Women,CO-ORD SETS
Women:CO-ORD SETS:31,CROPPED JACKET WITH TOPSTITCHING,Cropped jacket with a lapel collar. Long sleeves with shoulder pads and buttoned tabs. Flap detail on the chest and contrast topstitching. Button-up front.,Women,CO-ORD SETS
Women:CO-ORD SETS:32,STRAIGHT FIT TROUSERS WITH TOPSTITCHING,Mid-rise trousers with belt loops. Side pockets and false welt pockets on the back. Contrast topstitching detail. Front zip and button fastening.,Women,CO-ORD SETS
Women:CO-ORD SETS:34,LONG SLEEVE FLOWING TOP,Flowing top with a high neck and long sleeves.,Women,CO-ORD SETS
Women:CO-ORD SETS:35,FLOWING WIDE-LEG TROUSERS,Mid-waist trousers featuring an elasticated waistband with adjustable drawstrings. Wide-leg design.,Women,CO-ORD SETS
Women:CO-ORD SETS:36,LINEN BLEND CROSSOVER SKIRT,"Midi skirt made of a linen blend. Featuring an asymmetric waist with belt loops, front welt pocket and front button fastening.",Women,CO-ORD SETS
Women:CO-ORD SETS:39,SEQUINNED SATIN SHIRT,"Collared shirt made of viscose. Featuring long cuffed sleeves, embroidered sequin appliqués, side vents at the hem and front button fastening.",Women,CO-ORD SETS
Women:CO-ORD SETS:40,SEQUINNED SATIN TROUSERS,High-waist trousers made of viscose. Elastic waistband with adjustable drawstrings. Side pockets and rear patch pockets. Embroidery detail with sequin appliqués. Straight-leg design.,Women,CO-ORD SETS
Women:CO-ORD SETS:42,TAILORED WAISTCOAT,Sleeveless waistcoat with a V-neck. Front jetted pockets on the front. Button-up front.,Women,CO-ORD SETS
Women:CO-ORD SETS:43,STRAIGHT-LEG TROUSERS WITH TURN-UP HEMS,"High-waist trousers featuring front pockets and a rear false welt pockets. Straight-leg design and turn-up hems. Front zip fly, interior button and metal hook fastening.",Women,CO-ORD SETS
Women:CO-ORD SETS:45,POPLIN WRAP SHIRT,Collared shirt featuring long sleeves with cuffs. Crossover fabric detail on the front with a knot. Button-up front hidden by a placket.,Women,CO-ORD SETS
