id,name,details,gender,category
Women:DRESSES_JUMPSUITS:0,PRINTED PLEATED JUMPSUIT,Playsuit with a surplice neckline and long sleeves. Elasticated waist. Lining at the bottom. Fastening with buttoned opening at the back.,Women,DRESSES_JUMPSUITS
Women:DRESSES_JUMPSUITS:1,PLAYSUIT WITH CUT-OUT DETAIL,Sleeveless playsuit with a round neck. Pleated detail on the front and an opening at the waist. Invisible back zip fastening and openings with metal buttons. Split hem at the side and gathered detail.,Women,DRESSES_JUMPSUITS
Women:DRESSES_JUMPSUITS:2,POLYAMIDE MIDI DRESS,Midi dress made of polyamide and elastane blend. Round neck and drop sleeves.,Women,DRESSES_JUMPSUITS
Women:DRESSES_JUMPSUITS:6,FITTED ASYMMETRIC DRESS WITH CUT-OUT DETAIL,Dress made of a polyamide and elastane blend. Asymmetric neckline and thin elastic straps. Gathered detail and cut-out detail at the waist.,Women,DRESSES_JUMPSUITS
Women:DRESSES_JUMPSUITS:10,METALLIC STRAPLESS DRESS,Off-the-shoulder midi dress with a straight-cut neckline. Metallic fabric. Gathered details. Back slit at the hem. Invisible side zip fastening.,Women,DRESSES_JUMPSUITS
Women:DRESSES_JUMPSUITS:11,FOIL SLIP DRESS,Midi dress made of metallic-effect fabric. Draped neckline and thin straps. Open back. Invisible zip fastening.,Women,DRESSES_JUMPSUITS
Women:DRESSES_JUMPSUITS:12,FOIL SLIP DRESS,"Long dress made of metallic-effect fabric. Featuring a V-neckline, thin straps and an open back.",Women,DRESSES_JUMPSUITS
Women:DRESSES_JUMPSUITS:13,TRANSPARENT TULLE DRESS,Transparent midi dress with a high neck and long sleeves. Pronounced seams. Buttoned opening at the neck.,Women,DRESSES_JUMPSUITS
Women:DRESSES_JUMPSUITS:14,COMBINED NYLON JUMPSUIT,V-neck jumpsuit with thin adjustable straps. Side pockets and false rear welt pockets. Matching fabric. Invisible back zip and metal hook fastening at the front.,Women,DRESSES_JUMPSUITS
Women:DRESSES_JUMPSUITS:15,SATIN DRESS,Satin dress with a V-neckline and thin straps. Featuring an open back with a matching fabric strap.,Women,DRESSES_JUMPSUITS
Women:DRESSES_JUMPSUITS:16,FAUX LEATHER STRAPLESS DRESS,Short dress with a straight-cut neckline and exposed shoulders. Draped fabric on the side with metal links on the hem. Invisible back zip fastening.,Women,DRESSES_JUMPSUITS
Women:DRESSES_JUMPSUITS:17,OPEN CABLE-KNIT DRESS,Long felt texture dress. Round neck and long sleeves. Perforated fabric detail. A-line hem with side slit. This garment is not lined.,Women,DRESSES_JUMPSUITS
Women:DRESSES_JUMPSUITS:18,JUMPSUIT WITH CROSSOVER BACK,V-neck jumpsuit with thin straps that cross at the back. Lining. Wide-leg design. Invisible back zip fastening.,Women,DRESSES_JUMPSUITS
Women:DRESSES_JUMPSUITS:19,CUT-OUT JUMPSUIT,Flowing jumpsuit with a V-neckline and full short sleeves. Pleat details and openings at the waist. Invisible back zip fastening.,Women,DRESSES_JUMPSUITS
Women:DRESSES_JUMPSUITS:20,SATIN CAMISOLE DRESS,Midi dress with a draped neckline and thin straps. Gathered detail on the side. Invisible zip fastening.,Women,DRESSES_JUMPSUITS
