id,name,details,gender,category
Women:KNITWEAR:0,KNIT SWEATER WITH ZIP,"Sweater made of a viscose blend. Featuring a high neck with metal zip, long sleeves and matching ribbed trims.",Women,KNITWEAR
Women:KNITWEAR:1,OPEN KNIT CAPE,Cape in a textured open knit fabric with an asymmetric neck and sleeve.,Women,KNITWEAR
Women:KNITWEAR:2,CROPPED KNIT SWEATER,Cropped sweater with a round neck and long sleeves. Matching ribbed trims.,Women,KNITWEAR
Women:KNITWEAR:3,RIPPED CROPPED KNIT SWEATER,Cropped sweater with a round neck and long sleeves. Ripped details.,Women,KNITWEAR
Women:KNITWEAR:5,OPEN KNIT POLO SWEATER,Polo sweater with a Johnny collar and long sleeves. Ribbed trims.,Women,KNITWEAR
Women:KNITWEAR:6,KNIT CROPPED CARDIGAN,"Cropped cardigan with a round neck, long sleeves, matching ribbed trims and a button-up front.",Women,KNITWEAR
Women:KNITWEAR:9,100% WOOL KNIT POLO SWEATER,"Fitted sweater made of 100% extra soft wool. Featuring a polo collar, long sleeves and front button fastening.",Women,KNITWEAR
Women:KNITWEAR:12,CASHMERE KNIT SWEATER,Sweater made of a cashmere and wool blend. Round neck and long sleeves. Matching ribbed trims.,Women,KNITWEAR
Women:KNITWEAR:15,CROPPED KNIT SWEATER,Short sweater with a round neckline and long sleeves.,Women,KNITWEAR
Women:KNITWEAR:19,BASIC HIGH NECK KNIT SWEATER,"Sweater featuring a high neck, long sleeves with decorative metal buttons and ribbed trims.",Women,KNITWEAR
Women:KNITWEAR:27,WOOL KNIT SWEATER,Sweater made of 100% wool. Round neck and long sleeves. Matching ribbed trims.,Women,KNITWEAR
Women:KNITWEAR:28,OPEN-KNIT CARDIGAN,Cardigan made of a spun wool and alpaca blend. Featuring a V-neckline and long sleeves.,Women,KNITWEAR
Women:KNITWEAR:29,OPEN KNIT SWEATER,Sweater made of a spun wool and alpaca blend. Featuring a round neck and long sleeves.,Women,KNITWEAR
Women:KNITWEAR:30,METALLIC MESH KNIT TOP,Top with a round neck and long sleeves. Matching ribbed trims.,Women,KNITWEAR
Women:KNITWEAR:32,WOOL BOMBER JACKET WITH ZIP,Bomber jacket made of 100% wool. Featuring a V-neckline and long sleeves. Front pockets. Ribbed trims. Metal zip fastening at the front.,Women,KNITWEAR
