id,name,details,gender,category
Women:PERFUMESNEW:0,RED TEMPTATION 80 ML / 2.71 oz,"ZARA RED TEMPTATION EDP 80 ML (2.71 FL. OZ). Eau de parfum disguised as the warm and textured facets of beautiful Saffron and coriander spices; bitter orange lends a fruity and colourful touch to the luminous floral bouquet. The luminosity of jasmine reveals all the sensuality and femininity of white flowers, enhanced by a praline, modern and ultra-addictive accord. The flowers are highlighted by the power of moss and woody amber notes, enveloped in a cloud of musk, leaving a trail of complete femininity.",Women,PERFUMESNEW
Women:PERFUMESNEW:2,RED TEMPTATION 30 ML / 1.01 oz,"ZARA RED TEMPTATION EDP 30 ML (1.0 FL. OZ). Eau de parfum featuring the warm and textured facets of beautiful saffron and coriander spices, with bitter orange that lends a fruity and colourful touch to the luminous floral bouquet. Luminous jasmine reveals all the sensuality and femininity of these white flowers, enhanced by a chord of modern and ultra-addictive praline. The flowers are highlighted by strong notes of moss and woody amber, wrapped in a cloud of musk, creating a complete trail of femininity.",Women,PERFUMESNEW
Women:PERFUMESNEW:3,GOLDEN DECADE EDP 80 ML / 2.71 oz,"ZARA GOLDEN DECADE EDP 80 ML (2.71 FL. OZ). Enveloping, warm and elegant eau de parfum for the woman who wants to transmit a sense of freedom and express her emotions to the extreme. A modern white floral bouquet (jasmine, orange blossom) sublimated by the juicy facets of mandarin reveals the seductive side of every woman. A sweet and addictive lavender adds a final touch with its original and unparalleled facets.",Women,PERFUMESNEW
Women:PERFUMESNEW:5,GOLDEN DECADE 30 ML / 1.01 oz,"ZARA GOLDEN DECADE EDP 30 ML (1.0 FL. OZ). Enveloping, warm and elegant eau de parfum for a woman who wants to transmit a sense of freedom and express her emotions to the extreme. A modern white floral bouquet (jasmine, orange blossom) sublimated by the juicy facets of mandarin reveals the seductive side of every woman. A sweet and addictive lavender adds a final touch with its original and unparalleled facets.",Women,PERFUMESNEW
Women:PERFUMESNEW:6,AMBER FUSION 80 ML / 2.71 oz,"ZARA AMBER FUSION EDP 80 ML (2.71 FL. OZ). Eau de parfum in which citrus freshness of bergamot and tangerine are mixed with sea-inspired notes for a stunning introduction and cheerful fluidly, which plays to prolong with the colourful hints and acids of red berries. At the heart, the floral and crystalline delicacy of lily contrasts with the floral value of sunny and captivating ylang-ylang. This multifaceted floral duo is accompanied by a deep and generous background where the sophisticated character of woody notes is softened by an overdose of amber.",Women,PERFUMESNEW
Women:PERFUMESNEW:8,AMBER FUSION 30 ML / 1.01 oz,"ZARA AMBER FUSION 30 ML (1.0 FL. OZ). Eau de parfum where the citrus freshness of bergamot and tangerine blend with maritime notes for a stunning intro and lively fluidity, which plays to prolong with the colourful and acid notes of red berries. At the heart, the floral and crystalline delicacy of lily of the valley contrasts with the sunny and captivating floral essence of ylang ylang. This multifaceted floral duo is accompanied by an intense and generous background, where the sophisticated nature of woody notes is softened in contact with an amber overdose.",Women,PERFUMESNEW
Women:PERFUMESNEW:9,SUBLIME EPOQUE EDP 80 ML / 2.71 oz,"ZARA SUBLIME EPOQUE EDP 80 ML (2.71 FL. OZ). Eau de parfum that pays tribute to a sublime and radiant femininity. At the heart, a scintillating floral bouquet featuring jasmine, tuberose and orange blossom is brightened up in contact with the natural facets of bergamot. Vanilla and cedar mingle to form a warm and addictive background.",Women,PERFUMESNEW
Women:PERFUMESNEW:11,SUBLIME EPOQUE 30 ML / 1.01 oz,"ZARA SUBLIME EPOQUE EDP 30 ML (1.0 FL. OZ).Eau de parfum that pays tribute to a sublime and radiant femininity. At the heart, a scintillating floral bouquet featuring jasmine, tuberose and orange blossom is brightened up in contact with the natural facets of bergamot. Vanilla and cedar mingle to form a warm and addictive background.",Women,PERFUMESNEW
Women:PERFUMESNEW:12,ROSE GOURMAND 80 ML / 2.71 oz,"ZARA ROSE GOURMAND EDP 80 ML (2.71 FL. OZ). Eau de parfum with the spicy notes of carnation, the luminous radiance of jasmine, the ethereal tenderness of peony. It is all there to adorn and enhance a rose with modern freshness and strong character! Far from the incarnations of innocence and purity, it symbolises and encourages the unstoppable wave of feminine empowerment, bringing the pure delight that every woman deserves. Soft, delicious and creamy caramel gourmand notes blend with a lively and regressive flavour of vanilla, reaffirming in a trail of musky amber the power of the rose.",Women,PERFUMESNEW
Women:PERFUMESNEW:14,ROSE GOURMAND 30 ML / 1.01 oz,"ZARA ROSE GOURMAND EDP 30 ML / 1.01 oz (1.0 FL,. OZ). Eau de parfum featuring spicy notes of carnation, the luminous radiance of jasmine and the ethereal tenderness of peony. It is all there to decorate and enhance a rose with modern freshness and strong character. Far from embodying innocence and purity, it bestows and incites an unstoppable wave of feminine empowerment, providing pure delight that every woman has a right to. Soft, delicious and creamy gourmand caramel notes blend with a lively and nostalgic vanilla aroma, with a trail of amber musk that affirms the ultimate power of the rose.",Women,PERFUMESNEW
