id,name,details,gender,category
Women:SHIRTS:0,BLOUSE WITH JABOT FRILLS AND PEARL BEAD BUTTONS,Collared blouse featuring long sleeves with slit cuffs. Jabot frills on the front. Button-up front hidden by a button placket and pearl bead appliqués on the collar and cuffs.,Women,SHIRTS
Women:SHIRTS:1,OXFORD SHIRT,"Shirt with a johnny collar, long sleeves and a button-up front.",Women,SHIRTS
Women:SHIRTS:2,SEMI-SHEER RHINESTONE SHIRT,Semi-sheer collared shirt with long cuffed sleeves and front fastening with rhinestone buttons.,Women,SHIRTS
Women:SHIRTS:4,PRINTED TOP WITH GATHERED DETAIL,Top with a surplice neck featuring long sleeves with cuffs and an elasticated hem.,Women,SHIRTS
Women:SHIRTS:5,CONTRAST SHIRT,Collared shirt with long cuffed sleeves. Contrast fabric detail on the collar and cuffs. Front fastening with metal buttons.,Women,SHIRTS
Women:SHIRTS:6,ASYMMETRIC TUNIC BLOUSE,"Blouse made of a viscose blend. Featuring a V-neckline, short sleeves and an adjustable drawstring waist in the same fabric.",Women,SHIRTS
Women:SHIRTS:7,CROPPED LINEN BLEND SHIRT,Shirt made of a linen blend fabric. Johnny collar and turn-up short sleeves. Front patch pockets. Button-up front.,Women,SHIRTS
Women:SHIRTS:8,POPLIN SHIRT WITH LACE TRIMS,Shirt with a high neck and long sleeves. Matching lace trim details. Button-up front.,Women,SHIRTS
Women:SHIRTS:10,Z1975 DENIM OVERSHIRT WITH PATCH POCKETS,Collared overshirt with long sleeves. Front patch pockets. Side vents at the hem. Front metal button fastening.,Women,SHIRTS
Women:SHIRTS:11,LINEN BLOUSE,"Linen blouse with a V-neckline, long sleeves and an asymmetric hem.",Women,SHIRTS
Women:SHIRTS:12,POPLIN SHIRT,Collared V-neck shirt with long sleeves and a button-up front.,Women,SHIRTS
Women:SHIRTS:13,RHINESTONE POPLIN SHIRT,"Collared shirt made of cotton. Featuring long sleeves with cuffs, rhinestone appliqués and a button-up front.",Women,SHIRTS
Women:SHIRTS:14,ASYMMETRIC LINEN SHIRT,"Shirt made of linen. Featuring a slot collar, long cuffed sleeves and an asymmetric hem with side vents.",Women,SHIRTS
Women:SHIRTS:15,PLEATED OPEN-BACK TOP,High neck top with long sleeves. Open back detail. Invisible side zip fastening and buttons.,Women,SHIRTS
Women:SHIRTS:16,REGULAR FIT STRIPED SHIRT,Shirt featuring a Johnny collar and long cuffed sleeves with pleats. Slit hem on the sides. Button-up front.,Women,SHIRTS
Women:SHIRTS:17,FITTED SHIRT,Collared shirt with long sleeves. Fitted waist. Button-up front.,Women,SHIRTS
Women:SHIRTS:18,SEMI-SHEER BLOUSE WITH PLEATED RUFFLE TRIMS,V-neck blouse with long sleeves. Pleated ruffles. Button-up front.This garment is not lined.,Women,SHIRTS
Women:SHIRTS:20,CONTRAST TEXTURED SHIRT,Semi-sheer collared shirt with long sleeves. Front patch pockets. Textured trims. Button-up front hidden by a placket.This garment is not lined.,Women,SHIRTS
Women:SHIRTS:21,CROPPED STRIPED SHIRT,Cropped collared shirt featuring long sleeves with buttons hidden by a placket. Front patch pocket. Front button-up fastening hidden by a placket.,Women,SHIRTS
Women:SHIRTS:24,PRINTED SATIN SHIRT,High neck shirt with tie detail. Long cuffed sleeves. Button-up front.,Women,SHIRTS
Women:SHIRTS:25,POPLIN SHIRT WITH FEATHER APPLIQUÉS,Collared shirt made of cotton. Long sleeves with contrast removable feathers. Asymmetric hem. Button-up front.,Women,SHIRTS
Women:SHIRTS:26,PRINTED KIMONO SHIRT,V-neck kimono shirt with full sleeves falling below the elbow. Front fastening with covered buttons in matching fabric.,Women,SHIRTS
Women:SHIRTS:27,CONTRAST TEXTURED SHIRT,Collared shirt with long sleeves. Textured trims. Button-up front hidden by a placket.,Women,SHIRTS
Women:SHIRTS:28,Z1975 DENIM SHIRT,Collared shirt with long sleeves. Front patch pockets with flaps. Front fastening with metal buttons.,Women,SHIRTS
Women:SHIRTS:29,SEQUINNED SATIN SHIRT,"Collared shirt made of viscose. Featuring long cuffed sleeves, embroidered sequin appliqués, side vents at the hem and front button fastening.",Women,SHIRTS
Women:SHIRTS:30,RHINESTONE POPLIN SHIRT,Cotton shirt with a Johnny collar and sleeves falling below the elbow. Rhinestone appliqués and pleat at the back. Asymmetric hem with side vents. Button-up front.,Women,SHIRTS
Women:SHIRTS:31,POPLIN WRAP SHIRT,Collared shirt featuring long sleeves with cuffs. Crossover fabric detail on the front with a knot. Button-up front hidden by a placket.,Women,SHIRTS
Women:SHIRTS:32,OVERSIZED FLORAL PRINT SHIRT,Satin collared shirt with long sleeves. Side vents at the hem. Button-up front.,Women,SHIRTS
Women:SHIRTS:33,CROPPED SHIRT WITH RAISED FLOWER,"Cropped collared shirt featuring long cuffed sleeves, contrast fabric with raised flowers and a button-up front with covered buttons.",Women,SHIRTS
Women:SHIRTS:34,SHIRT WITH CUTWORK EMBROIDERY,Cotton shirt with a Johnny collar. Sleeves falling below the elbow. Cutwork embroidery detail. Asymmetric hem with side vents. Button-up front.,Women,SHIRTS
Women:SHIRTS:35,LINEN BLEND SHIRT WITH PATCH POCKETS,Shirt made of a linen blend fabric. Johnny collar and long sleeves. Front patch pockets. Button-up front.,Women,SHIRTS
Women:SHIRTS:36,SATIN SHIRT,Collared shirt with long sleeves. Button fastening at the front hidden by a placket.,Women,SHIRTS
Women:SHIRTS:37,TRF ASYMMETRIC DENIM TOP,"Halter top with a V-neckline. Featuring flap detail on the chest, an asymmetric hem and metal zip fastening on the side.",Women,SHIRTS
Women:SHIRTS:38,PRINTED RUFFLED SHIRT,Slot collar shirt with long ruffled sleeves. Button fastening at the front.,Women,SHIRTS
