id,name,details,gender,category
Women:SPECIAL PRICES:0,Z1975 STRAIGHT-FIT HIGH-WAIST LONG LENGTH JEANS,HIGH-WAIST - REGULAR REG - LONG LENGTH - RIGID High-waist jeans with five pockets. Faded effect. Straight-leg and long-leg design. Front zip fly and button fastening.,Women,SPECIAL PRICES
Women:SPECIAL PRICES:1,FLOWING SATIN SHIRT,"Shirt with a johnny collar, long sleeves and a button-up front.",Women,SPECIAL PRICES
Women:SPECIAL PRICES:3,SATIN SHIRT,Collared shirt with a V-neckline. Long cuffed sleeves. Front button fastening.,Women,SPECIAL PRICES
Women:SPECIAL PRICES:4,Z1975 HIGH-WAIST BAGGY PAPERBAG JEANS,"HIGH-RISE - BAGGY PAPERBAG - CARROT LEG - ANKLE - RIGIDHigh-waist jeans with an elasticated waistband and gathered details. Featuring front pockets, rear patch pockets, turn-up hems and a zip and button fastening at the front.",Women,SPECIAL PRICES
Women:SPECIAL PRICES:5,PRINTED MINI DRESS,Slot collar dress with long sleeves with elasticated trims. Front pintuck detail. Ruffled hem. Fastens at the front with buttons.,Women,SPECIAL PRICES
Women:SPECIAL PRICES:6,SATIN CROPPED BOMBER JACKET,"Bomber jacket with a round neckline and long sleeves with shoulder pads. Featuring matching ribbed trims, side pockets and snap-button fastening at the front.",Women,SPECIAL PRICES
Women:SPECIAL PRICES:8,METALLIC KNIT TOP,Round neck top with short sleeves.,Women,SPECIAL PRICES
Women:SPECIAL PRICES:9,FABRIC HIGH-HEEL SANDALS,"Fabric high-heel sandals. Wide strap on the front and thin strap on the instep. Square toe. Heel height: 9.5 . / 3.7″ AIRFIT®. Flexible technical latex foam insole, designed to offer greater comfort.",Women,SPECIAL PRICES
Women:SPECIAL PRICES:10,PRINTED SHIRT WITH POCKET,Shirt made of 100% cotton. Johnny collar and sleeves that fall below the elbow. Chest patch pocket. Asymmetric hem. Button-up front.,Women,SPECIAL PRICES
Women:SPECIAL PRICES:12,SHORT PRINTED DRESS,Short dress with a slot collar and long sleeves. Ruffled hem. Front button fastening.,Women,SPECIAL PRICES
