id,name,details,gender,category
Women:T-SHIRTS_SWEATSHIRTS:0,HEAVY COTTON T-SHIRT,ROUND NECK - NORMAL LENGTH - DROP SLEEVEST-shirt made of 100% cotton. Round neck and drop sleeves.,Women,T-SHIRTS_SWEATSHIRTS
Women:T-SHIRTS_SWEATSHIRTS:5,DRAPED NECK TOP,LOOSE FIT - DRAPED NECK - NORMAL LENGTH Drop sleeve top with a draped round neck.,Women,T-SHIRTS_SWEATSHIRTS
Women:T-SHIRTS_SWEATSHIRTS:6,CREPE SHORT SLEEVE T-SHIRT,REGULAR FIT - ROUND NECK - NORMAL LENGTH - SHORT SLEEVEST-shirt made of 100% cotton crepe fabric. Round neckline and short sleeves.,Women,T-SHIRTS_SWEATSHIRTS
Women:T-SHIRTS_SWEATSHIRTS:8,EMBROIDERED COLLAR T-SHIRT,ROUND NECK - NORMAL LENGTH - SHORT SLEEVEST-shirt with a round neck and short sleeves. Layered collar detail with embroidery,Women,T-SHIRTS_SWEATSHIRTS
Women:T-SHIRTS_SWEATSHIRTS:9,T-SHIRT WITH CONTRAST PRINT,LOOSE FIT - ROUND NECK - NORMAL LENGTH - SHORT SLEEVEST-shirt with a round neck and short sleeves. Contrast drawstring appliqué and print detail on the front.,Women,T-SHIRTS_SWEATSHIRTS
Women:T-SHIRTS_SWEATSHIRTS:10,T-SHIRT WITH SIDE KNOT,LOOSE FIT - ROUND NECK - NORMAL LENGTH - DROP SLEEVESRound neck T-shirt with drop sleeves. Featuring an asymmetric hem with a side knot in the same fabric.,Women,T-SHIRTS_SWEATSHIRTS
Women:T-SHIRTS_SWEATSHIRTS:14,HEAVY COTTON COCOON T-SHIRT,ROUND NECK - NORMAL LENGTH - SHORT SLEEVES Round neck T-shirt made of 100% cotton with short sleeves.,Women,T-SHIRTS_SWEATSHIRTS
Women:T-SHIRTS_SWEATSHIRTS:21,BASIC T-SHIRT WITH ASYMMETRIC HEM,REGULAR FIT - ROUND NECK - NORMAL LENGTH - SHORT SLEEVEST-shirt with a round neck and short sleeves. Asymmetric hem.,Women,T-SHIRTS_SWEATSHIRTS
Women:T-SHIRTS_SWEATSHIRTS:31,ASYMMETRIC RHINESTONE T-SHIRT,Not Found,Women,T-SHIRTS_SWEATSHIRTS
Women:T-SHIRTS_SWEATSHIRTS:32,T-SHIRT WITH SHIMMER AND SLOGAN,SLIM FIT - ROUND NECK - NORMAL LENGTH - SHORT SLEEVESRound neck T-shirt with short sleeves. Slogan detail on the front with rhinestone appliqués.,Women,T-SHIRTS_SWEATSHIRTS
Women:T-SHIRTS_SWEATSHIRTS:34,RIBBED STRAPPY VEST TOP,Vest top with a round neckline.,Women,T-SHIRTS_SWEATSHIRTS
Women:T-SHIRTS_SWEATSHIRTS:35,STRIPED COTTON T-SHIRT,LOOSE FIT - BOAT NECK - NORMAL LENGTH - LONG SLEEVEST-shirt made of a cotton blend. Boat neck and long sleeves.,Women,T-SHIRTS_SWEATSHIRTS
Women:T-SHIRTS_SWEATSHIRTS:36,LIGHTWEIGHT RIBBED T-SHIRT,SLIM FIT - ROUND NECK - NORMAL LENGTH - SHORT SLEEVEST-shirt made of a cotton blend. Round neck and short sleeves.,Women,T-SHIRTS_SWEATSHIRTS
Women:T-SHIRTS_SWEATSHIRTS:40,PLUSH VEST,Vest made of a cotton blend. V-neck and drop sleeves. Matching ribbed trims.,Women,T-SHIRTS_SWEATSHIRTS
Women:T-SHIRTS_SWEATSHIRTS:43,BASIC T-SHIRT,T-shirt made of cotton with a round neck and short sleeves.,Women,T-SHIRTS_SWEATSHIRTS
Women:T-SHIRTS_SWEATSHIRTS:45,FADED-EFFECT T-SHIRT WITH SLOGAN,"LOOSE FIT - ROUND NECK - NORMAL LENGTH - SHORT SLEEVESFaded cotton T-shirt featuring a round neck, short sleeves and contrast slogan on the front and back.",Women,T-SHIRTS_SWEATSHIRTS
Women:T-SHIRTS_SWEATSHIRTS:47,RIBBED T-SHIRT WITH FOIL,REGULAR FIT - ROUND NECK - NORMAL LENGTH - SHORT SLEEVESRound neck T-shirt with short sleeves.,Women,T-SHIRTS_SWEATSHIRTS
Women:T-SHIRTS_SWEATSHIRTS:49,COMBINED STRIPED TOP,Sleeveless round neck top made of cotton. Featuring contrast fabric on the front with darts and a buttoned opening at the back.,Women,T-SHIRTS_SWEATSHIRTS
Women:T-SHIRTS_SWEATSHIRTS:50,CONTRAST HOODIE,Long sleeve hoodie in contrast fabric with a front pouch pocket.,Women,T-SHIRTS_SWEATSHIRTS
Women:T-SHIRTS_SWEATSHIRTS:51,LONG SLEEVE CONTRAST STRIPED T-SHIRT,T-shirt made of cotton. Round neck and long sleeves. Contrast fabric detail on the back. Asymmetric hem.,Women,T-SHIRTS_SWEATSHIRTS
Women:T-SHIRTS_SWEATSHIRTS:52,SHORT SLEEVE CONTRAST STRIPED T-SHIRT,T-shirt made of cotton. Round neck and short sleeves. Contrast fabric detail on the back. Asymmetric hem.,Women,T-SHIRTS_SWEATSHIRTS
Women:T-SHIRTS_SWEATSHIRTS:53,FADED COTTON T-SHIRT,SLIM FIT - ROUND NECK - NORMAL LENGTH - SHORT SLEEVES Faded cotton T-shirt with a round neck and short sleeves.,Women,T-SHIRTS_SWEATSHIRTS
Women:T-SHIRTS_SWEATSHIRTS:54,CROPPED STRETCH T-SHIRT,SLIM FIT - ROUND NECK - SHORT - SHORT SLEEVESCropped short sleeve T-shirt made of a cotton blend with a round neck.,Women,T-SHIRTS_SWEATSHIRTS
Women:T-SHIRTS_SWEATSHIRTS:55,RIBBED LIGHTWEIGHT COTTON T-SHIRT,REGULAR FIT - ROUND NECK - NORMAL LENGTH - SHORT SLEEVESRound neck T-shirt made of cotton with short sleeves.,Women,T-SHIRTS_SWEATSHIRTS
Women:T-SHIRTS_SWEATSHIRTS:57,T-SHIRT WITH SLOGAN,ROUND NECK - NORMAL LENGTH - SHORT SLEEVESCotton T-shirt. Round neck and short sleeves. Contrast slogan detail on the front.,Women,T-SHIRTS_SWEATSHIRTS
Women:T-SHIRTS_SWEATSHIRTS:59,EMBROIDERED GIRL T-SHIRT,ROUND NECK - NORMAL LENGTH - SHORT SLEEVEST-shirt with a round neckline and short sleeves. Contrast embroidered detail on the front.,Women,T-SHIRTS_SWEATSHIRTS
Women:T-SHIRTS_SWEATSHIRTS:61,PRINTED T-SHIRT,ROUND NECK - NORMAL LENGTH - SHORT SLEEVESRound neck T-shirt with short sleeves.,Women,T-SHIRTS_SWEATSHIRTS
Women:T-SHIRTS_SWEATSHIRTS:62,POPLIN T-SHIRT WITH BUTTONS,LOOSE FIT - V-NECK - NORMAL LENGTH - DROP SLEEVESDrop sleeve T-shirt featuring a V-neck and fabric appliqué detail made of poplin with contrast stripes. Front buttons.,Women,T-SHIRTS_SWEATSHIRTS
Women:T-SHIRTS_SWEATSHIRTS:63,FADED-EFFECT RIBBED SWEATSHIRT,Round neck sweatshirt made of a faded-effect cotton blend. Long sleeves with ruffled cuffs.,Women,T-SHIRTS_SWEATSHIRTS
Women:T-SHIRTS_SWEATSHIRTS:64,RIPPED FADED-EFFECT SWEATSHIRT,"Faded cotton blend sweatshirt featuring a round neck, long drop-shoulder sleeves and ripped details.",Women,T-SHIRTS_SWEATSHIRTS
Women:T-SHIRTS_SWEATSHIRTS:65,FADED-EFFECT T-SHIRT,Faded cotton T-shirt with a distressed round neck and short sleeves.,Women,T-SHIRTS_SWEATSHIRTS
Women:T-SHIRTS_SWEATSHIRTS:66,FADED-EFFECT RIB T-SHIRT,Long sleeveless round neck top made of a faded effect cotton blend.,Women,T-SHIRTS_SWEATSHIRTS
Women:T-SHIRTS_SWEATSHIRTS:67,COTTON T-SHIRT WITH SEAM DETAILS,ROUND NECK - NORMAL LENGTH - SHORT SLEEVEST-shirt made of 100% cotton. Round neck and short sleeves. Seamless trims.,Women,T-SHIRTS_SWEATSHIRTS
Women:T-SHIRTS_SWEATSHIRTS:71,FADED-EFFECT PLUSH SWEATSHIRT,"Faded cotton sweatshirt featuring a round neck, long drop-shoulder sleeves and seamless hem.",Women,T-SHIRTS_SWEATSHIRTS
Women:T-SHIRTS_SWEATSHIRTS:73,CROP TOP,Round neck top with short sleeves.,Women,T-SHIRTS_SWEATSHIRTS
Women:T-SHIRTS_SWEATSHIRTS:83,BASIC RIBBED T-SHIRT,Round neck strappy top.,Women,T-SHIRTS_SWEATSHIRTS
Women:T-SHIRTS_SWEATSHIRTS:95,FITTED RHINESTONE T-SHIRT,SLIM FIT - ROUND NECK - NORMAL LENGTH - DROP SLEEVEST-shirt featuring a round neck and drop sleeves with rhinestone appliqués.,Women,T-SHIRTS_SWEATSHIRTS
Women:T-SHIRTS_SWEATSHIRTS:96,T-SHIRT WITH PADDED SHOULDERS AND RHINESTONES,LOOSE FIT - ROUND NECK - NORMAL LENGTH - SLEEVELESSSleeveless T-shirt featuring a round neck and padded shoulders. Rhinestone details on the front.,Women,T-SHIRTS_SWEATSHIRTS
Women:T-SHIRTS_SWEATSHIRTS:97,SHORT SLEEVE LIOCELL WOOL T-SHIRT,"ROUND NECK - NORMAL LENGTH - SHORT SLEEVESRound neck T-shirt with short sleeves made of a viscose, liocell and wool blend.",Women,T-SHIRTS_SWEATSHIRTS
Women:T-SHIRTS_SWEATSHIRTS:98,SLOGAN PRINT T-SHIRT,ROUND NECK - NORMAL LENGTH - SHORT SLEEVEST-shirt made of cotton. Round neck and short sleeves. Slogan and print detail on the front and back.,Women,T-SHIRTS_SWEATSHIRTS
Women:T-SHIRTS_SWEATSHIRTS:99,FADED COTTON T-SHIRT,REGULAR FIT - ROUND NECK - NORMAL LENGTH - SHORT SLEEVESRound neck T-shirt made of 100% cotton with short sleeves.,Women,T-SHIRTS_SWEATSHIRTS
Women:T-SHIRTS_SWEATSHIRTS:105,POLYAMIDE T-SHIRT,SLIM FIT - ROUND NECK - NORMAL LENGTH - SHORT SLEEVESFitted short sleeve top in a polyamide blend with a round neck.,Women,T-SHIRTS_SWEATSHIRTS
