id,name,details,gender,category
Women:TOPS_BODYSUITS:0,SATIN STRAPLESS TOP,"Top with a straight neckline and exposed shoulders. Featuring matching lining, an asymmetric hem and back zip fastening.",Women,TOPS_BODYSUITS
Women:TOPS_BODYSUITS:1,STRETCH TOP,Fitted top with a square-cut neckline and straps. Fastens at the back with a metal zip.,Women,TOPS_BODYSUITS
Women:TOPS_BODYSUITS:2,FOIL HALTER TOP,V-neck halter top made of metallic fabric. Lining. Open back. Invisible side zip fastening.,Women,TOPS_BODYSUITS
Women:TOPS_BODYSUITS:3,ASYMMETRIC HALTERNECK TOP,"Top made of pleated satin fabric with a halter neck. Featuring an open back, asymmetric hem and button fastening at the neck.",Women,TOPS_BODYSUITS
Women:TOPS_BODYSUITS:4,LINEN BLEND CROP TOP,Short top made of a linen blend. Straight neckline and exposed shoulders. Pleated detail on the front.,Women,TOPS_BODYSUITS
Women:TOPS_BODYSUITS:5,RIBBED KNIT TOP,Sleeveless top made of a cotton blend. Featuring a round neckline.,Women,TOPS_BODYSUITS
Women:TOPS_BODYSUITS:6,METALLIC MESH KNIT TOP,Top with a round neck and long sleeves. Matching ribbed trims.,Women,TOPS_BODYSUITS
Women:TOPS_BODYSUITS:7,PLEATED TOP WITH BELT,Sleeveless top featuring a high neck with pleat detail. Tied belt in the same fabric. Concealed buttoned opening at the back.,Women,TOPS_BODYSUITS
Women:TOPS_BODYSUITS:8,OPEN KNIT CAPE,Cape in a textured open knit fabric with an asymmetric neck and sleeve.,Women,TOPS_BODYSUITS
Women:TOPS_BODYSUITS:9,HALTER NECK BODYSUIT,Halter neck bodysuit with snap-button fastening at the bottom.,Women,TOPS_BODYSUITS
Women:TOPS_BODYSUITS:12,PLEATED OPEN-BACK TOP,High neck top with long sleeves. Open back detail. Invisible side zip fastening and buttons.,Women,TOPS_BODYSUITS
Women:TOPS_BODYSUITS:13,SLEEVELESS CABLE-KNIT TOP,Sleeveless round neck top.,Women,TOPS_BODYSUITS
Women:TOPS_BODYSUITS:14,MESH SEAMLESS TOP WITH RHINESTONES,Top made of stretchy mesh fabric. Round neck and long sleeves. Rhinestone appliqué details.,Women,TOPS_BODYSUITS
Women:TOPS_BODYSUITS:15,BEADED CROCHET TOP,Crochet top with multicoloured beads. Round neck and back fastening.,Women,TOPS_BODYSUITS
Women:TOPS_BODYSUITS:16,SHORT CROCHET TOP,"Crochet crop top with a V-neckline, wide straps and cutwork fabric detail.",Women,TOPS_BODYSUITS
Women:TOPS_BODYSUITS:17,RHINESTONE TOP,Crop top featuring a straight neckline and wide straps. Metal chain fastening at the back.,Women,TOPS_BODYSUITS
Women:TOPS_BODYSUITS:18,DRAPED FOIL TOP,Metallic thread top with an asymmetric neckline and draped fabric detail.,Women,TOPS_BODYSUITS
Women:TOPS_BODYSUITS:19,PRINTED KIMONO SHIRT,V-neck kimono shirt with full sleeves falling below the elbow. Front fastening with covered buttons in matching fabric.,Women,TOPS_BODYSUITS
Women:TOPS_BODYSUITS:20,TRF DENIM CROP TOP,Sleeveless crop top with a round neck. Seamless hem. Fastens at the back with an opening and metal button.,Women,TOPS_BODYSUITS
Women:TOPS_BODYSUITS:21,JACQUARD KNIT TOP,Top featuring a slot collar with a drawstring and short sleeves.,Women,TOPS_BODYSUITS
Women:TOPS_BODYSUITS:22,ASYMMETRIC TOP,Top with an asymmetric neckline and exposed shoulders. Gathered detail on the side. Asymmetric hem with side vent.,Women,TOPS_BODYSUITS
Women:TOPS_BODYSUITS:23,STRAPLESS TOP WITH BUCKLES,Off-the-shoulder top with a straight neckline. Tab details with metallic buckles. Asymmetric hem. Invisible side zip fastening.,Women,TOPS_BODYSUITS
Women:TOPS_BODYSUITS:24,CONTRAST WAISTCOAT TOP,Sleeveless V-neck top with satin lapels and metal button fastening at the front.,Women,TOPS_BODYSUITS
Women:TOPS_BODYSUITS:25,STRAPLESS CORSETRY-INSPIRED TOP WITH RHINESTONES,Off-the-shoulder top with a straight-cut neckline. Rhinestone details. Matching lining. Invisible side zip fastening.,Women,TOPS_BODYSUITS
Women:TOPS_BODYSUITS:26,BODYSUIT WITH SQUARE-CUT NECKLINE,Square-neck bodysuit with wide straps. Snap-button fastening at the bottom.,Women,TOPS_BODYSUITS
Women:TOPS_BODYSUITS:27,TEXTURED JACQUARD TOP,ROUND NECK - NORMAL LENGTH - SHORT SLEEVESRound neck T-shirt with short sleeves. Textured fabric detail.,Women,TOPS_BODYSUITS
Women:TOPS_BODYSUITS:28,DRAPED TULLE TOP,Semi-sheer V-neck top featuring long sleeves with mittens. Draped fabric. Button-up front.This garment is not lined.,Women,TOPS_BODYSUITS
Women:TOPS_BODYSUITS:29,SEAMLESS RHINESTONES BODYSUIT,Bodysuit made of stretchy mesh fabric. Round neck and long sleeves. Rhinestone appliqué details.,Women,TOPS_BODYSUITS
Women:TOPS_BODYSUITS:30,TAILORED LINEN BLEND WAISTCOAT,Sleeveless waistcoat made of a linen blend with a lapel collar and V-neck. Tied hem in the same fabric.,Women,TOPS_BODYSUITS
Women:TOPS_BODYSUITS:31,TRF ASYMMETRIC DENIM TOP,"Halter top with a V-neckline. Featuring flap detail on the chest, an asymmetric hem and metal zip fastening on the side.",Women,TOPS_BODYSUITS
Women:TOPS_BODYSUITS:32,PRINTED TOP WITH TIED DETAIL,"Sleeveless top made of cotton. Featuring a round neck, adjustable hem with ties and button fastening at the back.",Women,TOPS_BODYSUITS
Women:TOPS_BODYSUITS:33,BLOUSE WITH BOW COLLAR,"High-neck blouse with a bow, long puff sleeves and a buttoned opening at the back.",Women,TOPS_BODYSUITS
Women:TOPS_BODYSUITS:34,LINEN BLEND ASYMMETRIC TOP,Top made of a cotton and linen blend. Asymmetric neckline and long cape sleeves. Textured fabric detail. Asymmetric hem.,Women,TOPS_BODYSUITS
Women:TOPS_BODYSUITS:35,TOP WITH PLEATED RUFFLE SLEEVES,Crop top featuring a round neck and long sleeves with pleated ruffle trims. Buttoned opening at the back.,Women,TOPS_BODYSUITS
Women:TOPS_BODYSUITS:36,STRAPLESS POPLIN TOP WITH BEADING,Off-the-shoulder top with a straight-cut neckline. Featuring pleats and contrast beads. Metal zip fastening at the back.,Women,TOPS_BODYSUITS
Women:TOPS_BODYSUITS:37,TOP WITH BRAIDED STRAPS,V-neck top featuring braided straps with tied detail at the back. Elastic detail and opening at the back.,Women,TOPS_BODYSUITS
Women:TOPS_BODYSUITS:38,ASYMMETRIC GATHERED TOP,Top made of a polyamide and elastane blend. Asymmetric neckline with exposed shoulders. Gathered fabric detail.,Women,TOPS_BODYSUITS
Women:TOPS_BODYSUITS:39,TEXTURED RUFFLED TOP,Sleeveless V-neck top. Textured fabric detail and ruffles.,Women,TOPS_BODYSUITS
Women:TOPS_BODYSUITS:42,SATINY STRAPLESS NECKERCHIEF TOP,Off-the-shoulder top with a straight neckline. Neckerchief fabric with pleat details. Invisible side zip fastening.,Women,TOPS_BODYSUITS
Women:TOPS_BODYSUITS:43,PRINTED LINEN BLEND TOP,Halter top made of a linen blend. V-neckline. Open back. Asymmetric hem with a front slit. Side metal zip fastening.,Women,TOPS_BODYSUITS
Women:TOPS_BODYSUITS:45,POPLIN TOP WITH RHINESTONES AND FLOWERS,Top with thin straps and a tie at the back. Featuring a neckline in the shape of flowers and rhinestone appliqués.,Women,TOPS_BODYSUITS
Women:TOPS_BODYSUITS:46,EMBELLISHED CUT-OUT BODYSUIT,Bodysuit with a plunging V-neckline and wide straps. Metal appliqué detail on the chest and cut-out sides. Draped fabric. Snap-button fastening at the bottom.,Women,TOPS_BODYSUITS
Women:TOPS_BODYSUITS:47,TRF DENIM CROP TOP WITH RHINESTONES,Crop top with a straight neckline and thin straps. Rhinestone details. Fastens at the back with metal zip.,Women,TOPS_BODYSUITS
Women:TOPS_BODYSUITS:48,COMBINED STRIPED TOP,Sleeveless round neck top made of cotton. Featuring contrast fabric on the front with darts and a buttoned opening at the back.,Women,TOPS_BODYSUITS
