id,name,details,gender,category
Women:WAISTCOATS_GILETS:0,PLUSH VEST,Vest made of a cotton blend. V-neck and drop sleeves. Matching ribbed trims.,Women,WAISTCOATS_GILETS
Women:WAISTCOATS_GILETS:2,WATER-REPELLENT PUFFER GILET WITH WIND PROTECTION,WATER-REPELLENT - WIND PROTECTION Long puffer gilet with a high neck and an adjustable drawstring hood. Front zip pockets. Metal zip front fastening.,Women,WAISTCOATS_GILETS
Women:WAISTCOATS_GILETS:6,WATER-REPELLENT PUFFER GILET WITH WIND PROTECTION,WATER-REPELLENT - WIND PROTECTION Puffer gilet with a high neck and an adjustable hood with elastic drawstrings and stoppers. Pockets with fleece lining and in-seam zips. Contrast fabric on the sides. Thermo-sealed zip-up front.,Women,WAISTCOATS_GILETS
Women:WAISTCOATS_GILETS:8,SHORT TAILORED WAISTCOAT,V-neck waistcoat. Featuring false welt pockets and button fastening on the front.,Women,WAISTCOATS_GILETS
Women:WAISTCOATS_GILETS:9,BELTED TUXEDO WAISTCOAT,Sleeveless waistcoat with a shawl collar. Tied belt in matching fabric. Matching lining.,Women,WAISTCOATS_GILETS
Women:WAISTCOATS_GILETS:11,TAILORED WAISTCOAT,Sleeveless waistcoat with a V-neck. Front jetted pockets on the front. Button-up front.,Women,WAISTCOATS_GILETS
Women:WAISTCOATS_GILETS:12,LINEN BLEND LONG WAISTCOAT,Sleeveless waistcoat made of a linen blend. Lapel collar. Front patch pockets. Front button fastening and belt in the same fabric.,Women,WAISTCOATS_GILETS
Women:WAISTCOATS_GILETS:13,CONTRAST WAISTCOAT TOP,Sleeveless V-neck top with satin lapels and metal button fastening at the front.,Women,WAISTCOATS_GILETS
Women:WAISTCOATS_GILETS:14,FITTED BUTTONED WAISTCOAT,Fitted V-neck sleeveless waistcoat. Adjustable strap at the back with buttons. Asymmetric hem with an opening. Matching lining. Button-up front.,Women,WAISTCOATS_GILETS
Women:WAISTCOATS_GILETS:15,TAILORED LINEN BLEND WAISTCOAT,Sleeveless waistcoat made of a linen blend with a lapel collar and V-neck. Tied hem in the same fabric.,Women,WAISTCOATS_GILETS
Women:WAISTCOATS_GILETS:16,LONG WAISTCOAT WITH BELT,Waistcoat with lapel collar and front welt pockets. Front double-breasted fastening with buttons and a matching belt.,Women,WAISTCOATS_GILETS
Women:WAISTCOATS_GILETS:20,TEXTURED JACQUARD WAISTCOAT,"Waistcoat with a V-neckline. Featuring textured jacquard fabric, an asymmetric hem and button fastening at the front.",Women,WAISTCOATS_GILETS
Women:WAISTCOATS_GILETS:21,Z1975 DENIM CROPPED WAISTCOAT,V-neck waistcoat with front metal button fastening.,Women,WAISTCOATS_GILETS
Women:WAISTCOATS_GILETS:23,TAILORED WAISTCOAT,Fitted V-neck waistcoat with front button fastening.,Women,WAISTCOATS_GILETS
Women:WAISTCOATS_GILETS:24,TAILORED WAISTCOAT,V-neck waistcoat. Featuring false jetted pockets and button fastening on the front.,Women,WAISTCOATS_GILETS
Women:WAISTCOATS_GILETS:26,PUFFER GILET,Gilet with a high neck. Front patch pockets. Adjustable hem with drawstrings. Zip-up front hidden by a snap-button placket.,Women,WAISTCOATS_GILETS
Women:WAISTCOATS_GILETS:27,TAILORED LINEN BLEND WAISTCOAT,V-neck waistcoat made of a linen blend. Featuring front welt pockets and front button fastening.,Women,WAISTCOATS_GILETS
Women:WAISTCOATS_GILETS:28,FITTED CROPPED WAISTCOAT,Cropped fitted V-neck waistcoat with front button fastening.,Women,WAISTCOATS_GILETS
Women:WAISTCOATS_GILETS:29,TAILORED LINEN WAISTCOAT,V-neck waistcoat made of 100% linen. Front welt pockets and front button fastening.,Women,WAISTCOATS_GILETS
Women:WAISTCOATS_GILETS:30,TAILORED LINEN BLEND WAISTCOAT,"V-neck waistcoat made of a linen blend. Featuring thin straps, front welt pockets and front button fastening.",Women,WAISTCOATS_GILETS
Women:WAISTCOATS_GILETS:31,OPEN BACK HALTER WAISTCOAT,Halter V-neck waistcoat. Front flap details and an open back. Button-up front.,Women,WAISTCOATS_GILETS
Women:WAISTCOATS_GILETS:32,LONG FAUX SUEDE WAISTCOAT,Long waistcoat with a Johnny collar. Front welt pockets. Tied belt in the same fabric. Double-breasted front with contrast buttons.,Women,WAISTCOATS_GILETS
Women:WAISTCOATS_GILETS:34,LINEN BLEND WAISTCOAT JUMPSUIT,"Playsuit made of a linen blend. Featuring a V-neck and front darts. Front pockets and false rear jetted pockets. Front cut-out detail on the waist. Metal hook, inside button and zip fastening on the front.",Women,WAISTCOATS_GILETS
